"nta2020","ntaname","six","scenario","hour","measure","n_origins","weight_total","median_min","wmean_min","share_over_500m","weighting"
"QN0302","East Elmhurst",TRUE,"in_season",18,"complaints_evening",19,19,2.13,3.15,0.16,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"QN0302","East Elmhurst",TRUE,"in_season",21,"hotspots",1,20,23.59,23.59,1,"complaints in hot spot"
"QN0302","East Elmhurst",TRUE,"in_season",21,"complaints",36,36,23.06,18.07,0.89,"none (each complaint = 1)"
"QN0302","East Elmhurst",TRUE,"in_season",21,"complaints_evening",19,19,23.09,20.16,0.95,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"hotspots",1,5,6.33,6.33,0,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"complaints",18,18,6.66,6.33,0.28,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",14,"complaints_evening",7,7,6.76,6.68,0.29,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"hotspots",1,5,41.32,41.32,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"complaints",18,18,43.86,45.28,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",18,"complaints_evening",7,7,43.57,43.59,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"hotspots",1,5,47.96,47.96,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"complaints",18,18,51.54,51.91,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"off_season",21,"complaints_evening",7,7,51.51,50.95,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"hotspots",1,5,6.33,6.33,0,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"complaints",18,18,6.66,6.33,0.28,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",14,"complaints_evening",7,7,6.76,6.68,0.29,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"hotspots",1,5,7.71,7.71,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"complaints",18,18,7.08,6.94,0.56,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",18,"complaints_evening",7,7,7.09,7.31,0.71,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"stations_400",0,0,NA,NA,NA,"2025 entries"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"hotspots",1,5,47.96,47.96,1,"complaints in hot spot"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"complaints",18,18,51.54,51.91,1,"none (each complaint = 1)"
"BK1703","East Flatbush-Rugby",FALSE,"in_season",21,"complaints_evening",7,7,51.51,50.95,1,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"stations_in",2,9055398,5.62,5.01,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"stations_400",9,23259135,3.41,3.68,0.14,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"hotspots",5,70,3.12,3.88,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"complaints",100,100,3.11,3.53,0.07,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",14,"complaints_evening",35,35,3.11,3.69,0.11,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"stations_in",2,9055398,7.04,6,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"stations_400",9,23259135,6.36,6.16,0.27,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"hotspots",5,70,3.12,4.13,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"complaints",100,100,3.33,5.32,0.3,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",18,"complaints_evening",35,35,3.22,5.56,0.37,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"stations_in",2,9055398,27.8,27.78,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"stations_400",9,23259135,29.76,30.18,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"hotspots",5,70,24.25,26.16,1,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"complaints",100,100,24.51,26.23,0.99,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"off_season",21,"complaints_evening",35,35,24.53,25.96,1,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",14,"stations_in",2,9055398,5.62,5.01,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",14,"stations_400",9,23259135,3.41,3.68,0.14,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",14,"hotspots",5,70,3.12,3.88,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"in_season",14,"complaints",100,100,3.11,3.53,0.07,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",14,"complaints_evening",35,35,3.11,3.69,0.11,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",18,"stations_in",2,9055398,5.62,5.01,0.35,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",18,"stations_400",9,23259135,3.41,3.72,0.14,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",18,"hotspots",5,70,3.12,3.88,0.11,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"in_season",18,"complaints",100,100,3.11,3.53,0.07,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",18,"complaints_evening",35,35,3.11,3.69,0.11,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",21,"stations_in",2,9055398,27.8,27.78,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",21,"stations_400",9,23259135,29.76,30.18,1,"2025 entries"
"MN1102","East Harlem (North)",TRUE,"in_season",21,"hotspots",5,70,24.25,26.16,1,"complaints in hot spot"
"MN1102","East Harlem (North)",TRUE,"in_season",21,"complaints",100,100,24.51,26.23,0.99,"none (each complaint = 1)"
"MN1102","East Harlem (North)",TRUE,"in_season",21,"complaints_evening",35,35,24.53,25.96,1,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",14,"stations_in",4,3035680,4.8,4.3,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",14,"stations_400",5,3835670,4.6,4.25,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",14,"hotspots",2,26,0.72,2.11,0,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",14,"complaints",39,39,3.51,3.13,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",14,"complaints_evening",22,22,0.96,2.45,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",18,"stations_in",4,3035680,12.8,12.12,0.79,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",18,"stations_400",5,3835670,11.66,10.44,0.62,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",18,"hotspots",2,26,14.55,15.08,1,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",18,"complaints",39,39,14.44,14.08,0.95,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",18,"complaints_evening",22,22,14.5,14.16,0.95,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",21,"stations_in",4,3035680,30.06,31.74,1,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",21,"stations_400",5,3835670,28.27,31.01,1,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",21,"hotspots",2,26,36.66,35.32,1,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",21,"complaints",39,39,36.6,34.63,1,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"off_season",21,"complaints_evening",22,22,36.6,35.04,1,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",14,"stations_in",4,3035680,4.8,4.3,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",14,"stations_400",5,3835670,4.6,4.25,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",14,"hotspots",2,26,0.72,2.11,0,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",14,"complaints",39,39,3.51,3.13,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",14,"complaints_evening",22,22,0.96,2.45,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",18,"stations_in",4,3035680,4.8,4.3,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",18,"stations_400",5,3835670,4.6,4.25,0,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",18,"hotspots",2,26,0.72,2.11,0,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",18,"complaints",39,39,3.51,3.13,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",18,"complaints_evening",22,22,0.96,2.45,0.05,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",21,"stations_in",4,3035680,30.06,31.74,1,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",21,"stations_400",5,3835670,28.27,31.01,1,"2025 entries"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",21,"hotspots",2,26,36.66,35.32,1,"complaints in hot spot"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",21,"complaints",39,39,36.6,34.63,1,"none (each complaint = 1)"
"BX1201","Williamsbridge-Olinville",TRUE,"in_season",21,"complaints_evening",22,22,36.6,35.04,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",14,"stations_in",2,4902948,5.33,4.94,0.39,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",14,"stations_400",4,7395524,8.5,6.67,0.6,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",14,"hotspots",2,48,7.62,5.98,0.75,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",14,"complaints",59,59,7.5,6.37,0.73,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",14,"complaints_evening",32,32,7.5,6.67,0.81,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",18,"stations_in",2,4902948,31.87,30.92,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",18,"stations_400",4,7395524,31.87,32.5,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",18,"hotspots",2,48,47.12,43.19,1,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",18,"complaints",59,59,47.02,42.29,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",18,"complaints_evening",32,32,47.02,42.84,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",21,"stations_in",2,4902948,50.59,49.63,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",21,"stations_400",4,7395524,49.64,49.04,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",21,"hotspots",2,48,47.51,48.03,1,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",21,"complaints",59,59,47.61,48,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"off_season",21,"complaints_evening",32,32,47.61,48.02,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",14,"stations_in",2,4902948,5.33,4.94,0.39,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",14,"stations_400",4,7395524,8.5,6.67,0.6,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",14,"hotspots",2,48,7.62,5.98,0.75,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",14,"complaints",59,59,7.5,6.37,0.73,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",14,"complaints_evening",32,32,7.5,6.67,0.81,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",18,"stations_in",2,4902948,10.21,10.78,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",18,"stations_400",4,7395524,10.15,10.54,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",18,"hotspots",2,48,7.62,7.85,1,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",18,"complaints",59,59,7.72,8.01,0.95,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",18,"complaints_evening",32,32,7.72,7.89,0.97,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",21,"stations_in",2,4902948,50.59,49.63,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",21,"stations_400",4,7395524,49.64,49.04,1,"2025 entries"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",21,"hotspots",2,48,47.51,48.03,1,"complaints in hot spot"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",21,"complaints",59,59,47.61,48,1,"none (each complaint = 1)"
"QN0104","Astoria (East)-Woodside (North)",TRUE,"in_season",21,"complaints_evening",32,32,47.61,48.02,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",14,"stations_in",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",14,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",14,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",14,"complaints",15,15,6.35,6.94,0.27,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",14,"complaints_evening",4,4,4.97,4.69,0,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",18,"stations_in",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",18,"stations_400",0,0,NA,NA,NA,"2025 entries"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",18,"hotspots",0,0,NA,NA,NA,"complaints in hot spot"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",18,"complaints",15,15,50.21,49.76,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",18,"complaints_evening",4,4,43.59,44.49,1,"none (each complaint = 1)"
"SI0202","New Dorp-Midland Beach",FALSE,"off_season",21,"stations_in",0,0,NA,NA,NA,"2025 entries"
