"prop_id","cs_id","long_term_closure","reason_closed","winterized","reason_winterized"
"M042-01","1562","Yes","Repairs",,
"M045","1563",,,,
"M056-01","1564",,,"Yes","No heat"
"M056-02","1565",,,"Yes","No heat"
"M056-ZN01","1567",,,,
"M058-ZN01","1568","Yes","Repairs","Yes","No Heat"
"M069","1569",,,,
"M071-03","1570",,,"Yes","No Heat"
"M071-04","1571",,,,
"M071-08","1572",,,,
"M071-13","1573",,,,
"M071-16","1574",,,,
"M071-31","1575",,,"Yes","No heat"
"M071-ZN17","1576",,,,
"M071-ZN20","1577",,,"Yes","No heat"
"M353-ZN02","1578",,,,
"M072-01","1579",,,,
"M076","1580",,,,
"M077-02","1581",,,,
"M077-03","1582",,,,
"M077-04","1583",,,,
"M079","1584",,,,
"M081-02","1585",,,,
"M081-ZN01","1586",,,,
"M081-ZN02","1587",,,,
"M082","1588",,,,
"M088","1589",,,,
"M088","1590",,,,
"M089-01","1591",,,"Yes","No Heat"
"M098-ZN01","1593",,,,
"M099","1594",,,,
"M104-ZN01","1595",,,,
"M104-ZN02","1596",,,,
"M104-ZN02","1597",,,"Yes","No heat"
"M105","1598",,,,
"M105-08","1599",,,,
"M107-01","1600",,,,
"M107-ZN06","1601",,,,
"M108Q","1603","Yes","Repairs",,
"M132","1604",,,"Yes","No heat"
"M140-01","1605",,,"Yes","No heat"
"M144-ZN02","1607","Yes","Permanently Closed","Yes","No heat"
"M144-ZN05","1609",,,"Yes","No Heat"
"M144-ZN06","1610","Yes","Repairs",,
"M154","1611",,,,
"M158","1612",,,,
"M159","1613",,,,
"M160","1614",,,"Yes","No heat"
"M161","1615",,,,
"M165","1616",,,,
"M186","1617",,,"Yes","No Heat"
"M190","1619",,,,
"M192","1620",,,"Yes","No heat"
"M193","1621",,,,
"M194","1622",,,,
"M198","1623",,,,
"M199","1624",,,,
"M204","1625",,,,
"M208A","1626",,,,
"M211A","1627","Yes","Repairs","Yes","No heat"
"M211B","1628",,,,
"M215","1629",,,,
"M216","1630",,,,
"M217","1631",,,,
"M219","1632",,,,
"M220","1633",,,,
"M223","1634",,,,
"M226","1635",,,,
"M229","1636",,,,
"M230","1637",,,,
"M231","1638",,,,
"M233","1639",,,,
"M234","1640",,,,
"M235","1641",,,"Yes","No heat"
"M236","1642",,,"Yes","No heat"
"M237","1643",,,,
"M238","1644",,,,
"M239","1645",,,,
"M240","1646",,,,
"M244","1647",,,,
"M245","1648",,,,
"M251","1649",,,,
"M256","1650",,,,
"M258","1651",,,,
"M259","1652",,,,
"M300","1654",,,,
"M308","1655",,,,
"M360-ZN01","1656",,,,
"M386","1657",,,,
"M391-ZN01","1658",,,,
"Q001-04","1659",,,,
"Q001-99","1660",,,,
"Q001A-01","1661",,,,
"Q001-ZN02","1663",,,,
"Q002","1664",,,,
"Q004-01","1665","Yes","Repairs","Yes","No gas"
"Q004-ZN01","1666",,,"Yes","No heat"
"Q005-05","1669",,,,
"Q005-ZN01","1671",,,,
"Q005-11","1672",,,,
"Q005-ZN02","1673","Yes","Permanently Closed",,
"Q005-ZN03","1674",,,,
"Q005-ZN04","1675",,,,
"Q006-01","1677",,,"Yes","No Heat"
"Q007-01","1678","Yes","Capital",,
"Q008-02","1679",,,,
"Q009-01","1680",,,,
"Q011","1681",,,"Yes","No Heat"
"Q012B","1682",,,,
"Q012-ZN01","1683",,,"Yes","No Heat"
"Q014","1685",,,,
"Q015-02","1686",,,,
"Q015-03","1687",,,"Yes","No heat"
"Q015-08","1689","Yes","Capital",,
"Q015-ZN04","1690",,,,
"Q015-ZN05","1691",,,"Yes","Seasonal"
"Q015-ZN06","1692","Yes","Repairs","Yes","Seasonal"
"Q015-ZN07","1693",,,"Yes","Seasonal"
"Q020-01","1694",,,,
"Q020-ZN01","1695",,,"Yes","Seasonal"
"Q020-ZN02","1696","Yes","Repairs",,
"Q021-03","1698",,,,
"Q021-ZN01","1699",,,,
"Q021-ZN02","1700",,,,
"Q021-ZN03","1701",,,,
"Q022","1702",,,"Yes","No heat"
"Q023","1703",,,,
"Q024-02","1704",,,"Yes","No heat"
"Q024-ZN02","1705","Yes","Repairs",,
"Q026","1706",,,"Yes","No Heat"
"Q027-02","1707",,,,
"Q031","1708",,,"Yes","No heat"
"Q041","1709",,,"Yes","No heat"
"Q044","1710",,,,
"Q046","1711","Yes","Construction",,
"Q048-01","1712",,,,
"Q050-ZN08A","1713",,,"Yes","Seasonal"
"Q051-01","1715",,,,
"Q052","1716",,,,
"Q053","1717","Yes","Repairs",,
"Q066B","1718",,,"Yes","No gas"
"Q067A","1719",,,"Yes","No Heat"
"Q082","1720",,,,
"Q085","1721",,,,
"Q086-01","1722",,,"Yes","No Heat"
"Q089B-01","1723",,,"Yes","No heat"
"Q095","1724",,,,
"Q098","1725",,,,
"Q099-01","1726",,,,
"Q099-15","1727",,,"Yes","No heat"
"Q099-17","1728",,,,
"Q099-18","1729",,,"Yes","No Heat"
"Q099-20","1730",,,,
"Q099-ZN08","1731",,,"Yes","No electric"
"Q099-ZN11","1732",,,,
"Q099-ZN17","1733",,,,
"Q099-ZN19","1734",,,,
"Q099-ZN20","1735",,,,
"Q099-ZN25","1736","Yes","Repairs",,
"Q102-02","1737",,,,
"Q103","1738",,,,
"Q104-01","1739",,,"Yes","No heat"
"Q105","1740",,,"Yes","No Heat"
"Q106","1741",,,,
"Q107","1742",,,,
"Q118","1744",,,,
"Q119","1745",,,,
"Q121-01","1746",,,,
"Q121","1747",,,,
"Q126","1748",,,,
"Q127","1749","Yes","Repairs",,
"Q128","1750",,,,
"Q129","1751",,,,
"Q131-01","1752",,,,
"Q134","1753",,,,
"Q141","1754",,,,
"Q162E","1755",,,,
"Q162H","1756",,,,
"Q162J","1757",,,,
"Q162J01","1758",,,"Yes","No gas"
"Q163-ZN05B","1760",,,"Yes","Seasonal"
"Q163-ZN06B","1761",,,"Yes","Seasonal"
"Q163-ZN07B","1762",,,"Yes","Seasonal"
"Q174A","1763","Yes","Repairs","Yes","No gas"
"Q205A","1764",,,"Yes","No heat"
"Q211","1766",,,,
"Q212","1767",,,,
"Q218","1768",,,,
"Q220C","1769",,,"Yes","Water Leak"
"Q221","1770",,,"Yes","No heat"
"Q226-01","1771",,,,
"Q266","1772",,,,
"Q293","1773",,,,
"Q300-03","1774",,,"Yes","No heat"
"Q300-04","1775",,,,
"Q300A-01","1776",,,,
"Q300A1","1777",,,"Yes","No gas"
"Q302","1779",,,,
"Q303","1780","Yes","Repairs",,
"Q305","1781","Yes","Repairs",,
"Q306","1782",,,,
"Q307","1783",,,,
"Q308","1784",,,,
"Q317","1785",,,"Yes","No heat"
"Q318","1786",,,"Yes","No gas"
"Q319","1787",,,"Yes","No Heat"
"Q320","1788",,,,
"Q322","1789",,,,
"Q327","1790",,,,
"Q328","1791",,,"Yes","No gas"
"Q329","1792",,,,
"Q330","1793",,,,
"Q332","1794","Yes","Capital",,
"Q335","1796",,,,
"Q336","1797",,,,
"Q337","1798","Yes","Repairs",,
"Q338","1799",,,,
"Q339","1800",,,,
"Q340","1801",,,,
"Q342","1802",,,"Yes","No Heat"
"Q343","1803",,,,
"Q344","1804",,,,
"Q345","1805",,,,
"Q346","1806",,,"Yes","No gas"
"Q347","1807",,,"Yes","No heat"
"Q348","1808",,,,
"Q349","1809",,,,
"Q351","1810",,,"Yes","No Heat"
"Q354","1811",,,,
"Q356","1812",,,,
"Q357B","1813",,,"Yes","No heat"
"Q358","1814",,,"Yes","No gas"
"Q359","1815",,,,
"Q360J","1816",,,"Yes","No Heat"
"Q360M","1817",,,"Yes","No heat"
"Q360N","1818","Yes","Repairs",,
"Q361","1819",,,,
"Q362","1820",,,,
"Q363","1821",,,,
"Q364","1822",,,,
"Q367","1823",,,,
"Q369","1824",,,,
"Q371-01","1825","Yes","No Power",,
"Q373","1826",,,,
"Q377","1827","Yes","Repairs",,
"Q378","1828",,,,
"Q385","1829",,,,
"Q387A","1830",,,"Yes","No heat"
"Q389","1831",,,"Yes","No electric"
"Q390","1832","Yes","Repairs","Yes","No heat"
"Q391","1833",,,,
"Q396","1834",,,"Yes","No gas"
"Q397","1835",,,,
"Q398","1836",,,,
"Q399","1837",,,,
"Q404","1838",,,,
"Q405","1839",,,"Yes","No gas"
"Q406","1840",,,,
"Q407","1841",,,,
"Q408","1842",,,,
"Q415","1843",,,"Yes","No heat"
"Q422","1844",,,,
"Q423","1845",,,,
"Q425","1846",,,,
"Q426","1847",,,,
"Q427","1848","Yes","Permanently Closed",,
"Q428","1849",,,"Yes","No heat"
"Q429","1850",,,"Yes","No heat"
"Q436","1851",,,,
"Q445-01","1852",,,,
"Q448-ZN02A","1853",,,,
"Q450","1854",,,,
"Q458-ZN01","1855","Yes","Repairs","Yes","Seasonal"
"Q476","1856","Yes","Repairs","Yes","No heat"
"Q492","1857","Yes","Repairs",,
"R005-ZN01","1858",,,"Yes","No heat"
"R005-ZN01","1859","Yes","Repairs","Yes","No Heat"
"R006-ZN02","1860",,,,
"R015","1861",,,,
"R022-04","1862",,,,
"R025","1864",,,,
"R026","1865",,,,
"R028","1866","Yes","Permanently Closed",,
"R031-ZN02","1867",,,"Yes","Seasonal"
"R031-ZN02","1868",,,,
"R033","1869",,,,
"R034","1870",,,,
"R035","1871",,,,
"R038","1872",,,,
"R038A","1873","Yes","Other",,
"R045-01","1874",,,,
"R046-06","1876",,,"Yes","Seasonal"
"R046-ZN01","1877",,,,
"R046-ZN02","1878",,,"Yes","Seasonal"
"R046-ZN03","1879",,,,
"R046-ZN04","1880","Yes","Repairs","Yes","Seasonal"
"R061","1881",,,,
"R062","1882",,,,
"R063","1883",,,,
"R064","1884",,,,
"R065-ZN03A","1885","Yes","Repairs",,
"R065-ZN08","1886",,,,
"R067","1887",,,,
"R068","1888",,,,
"R069","1889",,,,
"R076","1890",,,,
"R085","1891",,,,
"R087","1892",,,,
"R089","1893",,,,
"R090","1894",,,,
"R105","1895","Yes","Capital",,
"R106-01","1896",,,,
"R109-01","1897",,,,
"R114","1898",,,,
"X002-04","1900",,,,
"X002-05","1901",,,,
"X002-05A","1902",,,,
"X002-07","1903",,,,
"X002-14","1904",,,,
"X004-01","1905",,,,
"X004-02","1906",,,,
"X004-03","1907",,,,
"X008-ZN03","1908",,,,
"X008-ZN01","1909",,,,
"X009","1910","Yes","Capital",,
"X010-08","1911",,,,
"X010-10","1912",,,,
"X010-12","1913",,,,
"X010A","1914","Yes","Permanently Closed",,
"X010A-02","1915",,,"Yes","No heat"
"X010-ZN01","1916",,,,
"X010-ZN03","1917",,,,
"X011-ZN01","1918","Yes","Permanently Closed",,
"X013-01","1919",,,,
"X014","1920",,,,
"X017","1921",,,,
"X020","1922",,,,
"X021","1923",,,,
"X030-ZN01","1924",,,,
"X030-ZN02","1925",,,,
"X032","1926","Yes","Permanently Closed",,
"X033-ZN02","1927","Yes","Permanently Closed",,
"X033-ZN04","1928","Yes","Permanently Closed",,
"X034-ZN01","1929",,,,
"X039-01","1930",,,,
"X039-ZN02","1931",,,,
"X039-ZN13","1932",,,"Yes","Seasonal"
"X039-ZN15","1933",,,,
"X039-ZN18","1934",,,"Yes","Seasonal"
"X039-ZN18","1935",,,"Yes","Seasonal"
"X040","1936","Yes","Repairs",,
"X042","1937",,,"Yes","No heat"
"X044","1938",,,,
"X045-01","1939",,,,
"X045-03","1940",,,,
"X047-ZN01","1941",,,,
"X047-ZN01","1942","Yes","Permanently Closed",,
"X080","1943",,,,
"X085","1944",,,,
"X087","1945","Yes","Capital",,
"X092-05","1946",,,,
"X092-06","1947",,,,
"X092-26","1948",,,"Yes","No Heat"
"X092-ZN02","1949","Yes","Repairs",,
"X092-ZN03","1950",,,,
"X092-ZN04","1951",,,,
"X092-ZN07","1952",,,,
"X092-ZN11","1953",,,,
"X092-ZN12","1954",,,,
"X102","1956",,,,
"X103","1957",,,,
"X104","1958",,,,
"X108","1959",,,,
"X111","1960",,,,
