"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio"
"BK0401","Bushwick (West)",13,"Brooklyn",1,52698,22293,3892,5530,9610,52404,52442,93387,13,0.183382947866575,0.0738547952483965,0.1054498302887,84,51,96.7778663326881,0,"BK04",TRUE,3,7724182,4,31937,3,0.829828780159744,63504.666576948,38486.2525421835,8.95224066135897,3.4945966459207,1.38629436111989,1.38629436111989,11.0588844183316,9.3387,18.3382947866575,7.38547952483965,"Brooklyn",30.3155004799995,1.68230770373219
"BK0402","Bushwick (East)",16,"Brooklyn",1,59859,23198,7716,7634,14003,59802,59843,76675,16,0.234156048292699,0.128902921866386,0.127567134000635,52,29,48.4471842162415,0,"BK04",TRUE,4,9763426,5,6842,3,1.00199338253319,59739.9154959165,6828.38840981407,9.18650106022108,2.05949390387014,1.38629436111989,1.6094379124341,10.9977724163249,7.6675,23.4156048292699,12.8902921866386,"Brooklyn",21.2362941267164,1.36558666154075
"BK0501","Cypress Hills",14,"Brooklyn",1,42117,13775,5826,3765,7151,41961,42107,69587,14,0.170420152045947,0.13832894080775,0.0894150616287078,45,20,47.4867630647957,0,"BK05",TRUE,4,2234688,4,6734,1,0.874474539281548,48162.6372273829,7700.62442930875,7.71230428965537,2.04562619318511,0.693147180559945,1.6094379124341,10.7823596009553,6.9587,17.0420152045947,13.832894080775,"Brooklyn",13.4169460809386,1.49065218562769
"BK0502","East New York (North)",13,"Brooklyn",1,41335,14522,6064,5238,9976,40928,41049,69397,12,0.24374511336982,0.146703761945083,0.127603595702697,27,9,21.7733155921132,0,"BK05",TRUE,1,3596415,6,8714,10,1.00102536072256,41292.6601281745,8705.07415887051,8.18797081096328,2.27356814392355,2.39789527279837,0.693147180559945,10.6284642593732,6.9397,24.374511336982,14.6703761945083,"Brooklyn",14.9037273417783,0.603875781783198
"BK0503","East New York-New Lots",14,"Brooklyn",1,51641,19652,8081,6787,11719,51049,51337,56580,14,0.229563752473114,0.156484188919657,0.132204842511249,26,5,9.6822292364594,0,"BK05",TRUE,3,3073259,4,14199,3,1.66643325259516,30988.9399527876,8520.59329582368,8.03081917559157,2.72122963621432,1.38629436111989,1.38629436111989,10.341417913148,5.658,22.9563752473114,15.6484188919657,"Brooklyn",17.2773372551147,0.289396446117287
"BK0504","Spring Creek-Starrett City",4,"Brooklyn",1,16410,8244,4752,4295,4099,16238,16194,37687,3,0.252432565586895,0.289579524680073,0.265221687044584,4,1,6.0938452163315,0,"BK05",TRUE,1,0,0,6966,0,0.971589212396371,16889.8540562484,7169.69673100708,0,2.07518248475945,0,0.693147180559945,9.73452757431671,3.7687,25.2432565586895,28.9579524680073,"Brooklyn",1.59458998888974,0.627120455394474
"BK0505","East New York-City Line",12,"Brooklyn",1,47234,15755,5894,5251,9699,46788,46953,59807,12,0.207296742754552,0.124782995299996,0.111835239494814,15,4,8.46847609772621,0,"BK05",TRUE,3,3097135,2,4759,1,1.13095096121283,41764.8524294514,4207.96317719777,8.03855559652835,1.75076384852454,0.693147180559945,1.38629436111989,10.6398343571206,5.9807,20.7296742754552,12.4782995299996,"Brooklyn",14.5902482217457,0.274155719574276
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook",21,"Brooklyn",1,60738,26206,7787,6255,7193,60175,60301,147505,20,0.119534690486082,0.128206394678784,0.103729623057661,87,45,74.0887088807666,0,"BK06",TRUE,7,7609170,3,24552,15,2.18131253825607,27844.7031018119,11255.6085244112,8.93724078963382,3.24071559147266,2.77258872223978,2.07944154167984,10.2344339462639,14.7505,11.9534690486082,12.8206394678784,"Brooklyn",36.703727199073,1.22603352395057
"BK0602","Park Slope",16,"Brooklyn",1,59281,25910,7751,3515,2888,58988,59199,194361,16,0.0489591103275242,0.130750156036504,0.0593760029730232,56,27,45.5457903881513,0,"BK06",TRUE,5,19412097,5,16333,0,0.926582951726127,63978.081929487,17627.1320010511,9.87370322036462,2.85261219895917,0,1.79175946922805,11.0663114640646,19.4361,4.89591103275242,13.0750156036504,"Brooklyn",28.2794717722177,0.954756164382297
"BK0701","Windsor Terrace-South Slope",8,"Brooklyn",1,25036,10712,3782,2470,1801,24706,25036,147547,8,0.0728972719177528,0.151062470043138,0.098657932577089,20,13,51.9252276721521,0,"BK07",TRUE,4,2981796,2,4176,0,0.549251682415983,45582.0178645145,7603.07184063799,8.00061639464688,1.6440325571986,0,1.6094379124341,10.7272905108868,14.7547,7.28972719177528,15.1062470043138,"Brooklyn",7.9503277000613,1.63515272457257
