name,chain,category,latitude,longitude,source
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.648723192538","-73.958298253196","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.656181203396","-73.930844886732","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.761859115241","-73.7591993411","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.7806191184","-73.802039011533","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.827578059403","-73.823272077449","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.731773141489","-73.86656564973","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.667935318774","-73.780984279643","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.644916150063","-73.921588478833","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.701739099289","-73.880832224708","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.739396352692","-73.815741155917","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.657669815042","-73.889932475951","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.806135557598","-73.925797523693","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.759120201969","-73.829933789261","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.700167637429","-73.905824280632","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD AVENUE DINER","McDonald’s","chain restaurant / coffee","40.626251305995","-73.976281412702","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.872957159909","-73.87855715106","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.768459306778","-73.737474499503","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.863664897107","-73.86739906882","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.827753119815","-73.925729962397","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.718021838652","-73.736501511822","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.769859328308","-73.834798166299","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.769845691663","-73.95451438349","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.721127891602","-73.903940237284","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.819854381506","-73.926710703668","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN'","Dunkin","chain restaurant / coffee","40.72607440915","-73.895050484292","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.665487277341","-73.756646891016","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.711802776132","-74.006658706681","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.652525984176","-73.923511182349","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.612913560092","-74.130757472302","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.722595377766","-73.997857034258","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.720884659438","-73.846810679703","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.629011555919","-74.11561493311","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.822926167108","-73.941831944483","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.703526585057","-74.014386928913","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.741199405728","-74.001450696472","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.736184743398","-73.858051712626","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.842549706002","-73.939230553997","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS #7277","Starbucks","chain restaurant / coffee","40.739999160011","-73.98650732328","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.855581942878","-73.867646601463","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.756312662713","-73.929975311835","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS COFFEE","Starbucks","chain restaurant / coffee","40.741918358875","-73.993504273784","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.760746417645","-73.983525051517","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.570012170834","-74.110196084465","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.73937721415","-73.78575728482","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.77772993905","-73.977462103756","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.769681413602","-73.916238646741","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS #7358","Starbucks","chain restaurant / coffee","40.6923065143","-73.991100290211","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN'","Dunkin","chain restaurant / coffee","40.743240660189","-73.91940807304","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.78658608086","-73.972107344375","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS COFFEE","Starbucks","chain restaurant / coffee","40.754027772142","-73.972056060847","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.710529012969","-74.009378280217","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.844763407621","-73.846553221222","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.751747104858","-73.990074503944","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.587110213308","-74.168258345497","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS #7378","Starbucks","chain restaurant / coffee","40.734696627418","-73.989925503095","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.762687564938","-73.915958686636","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.624417425341","-74.144098034752","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.760677348503","-73.766434000104","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"TACO BELL","Taco Bell","chain restaurant / coffee","40.749860120081","-73.883243359146","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN' / BASKIN ROBBINS","Dunkin","chain restaurant / coffee","40.767252102823","-73.738894447833","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"BURGER KING","Burger King","chain restaurant / coffee","40.675897887864","-73.866659848003","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.702517908763","-73.81424575374","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.748314111829","-73.877305520332","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.744033578087","-73.983568897664","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"POPEYES","Popeyes","chain restaurant / coffee","40.663252333212","-73.961208751576","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"MCDONALD'S","McDonald’s","chain restaurant / coffee","40.722223173864","-73.940556479308","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"DUNKIN","Dunkin","chain restaurant / coffee","40.720931283293","-73.855234321077","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.752650353431","-73.993109807324","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.759260547027","-73.977843784017","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
"STARBUCKS","Starbucks","chain restaurant / coffee","40.769469474454","-73.985122219615","NYC DOHMH Restaurant Inspection Results (43nn-pn8j), accessed 2026-09-20"
