variable,mean,lower,upper
delta_vs_rule,0.0225495258119903,0.00264257258131457,0.0436042594835452
delta_vs_random,0.126843614931663,0.0839164639574221,0.171976343484126
model_precision,0.273828332258495,0.221197596553614,0.3274580142485
baseline_precision,0.251278806446505,0.206516811174021,0.296154865452617
auc,0.639670980555992,0.59644129279969,0.684474690707835
