period,eligible,k,known_failures,rated_slots,unrated_slots,no_followup_slots,precision_among_rated,precision_lower,precision_upper,recall_observed,model,budget
2025H1,685,69,7.05109489051096,55.703649635037,11.785401459854,1.51094890510949,0.126582278481012,0.102189781021898,0.294890510948898,0.100729927007299,random,10pct
2025H2,683,69,6.86969253294289,61.322108345535,6.36456808199121,1.31332357247438,0.112026359143327,0.0995607613469984,0.210834553440695,0.101024890190337,random,10pct
2026H1,682,69,10.7243401759531,53.1158357771263,14.5689149560118,1.31524926686217,0.201904761904762,0.155425219941349,0.385630498533722,0.101173020527859,random,10pct
2025H1,685,137,14,110.600000000001,23.4,3,0.126582278481011,0.102189781021898,0.294890510948897,0.2,random,20pct
2025H2,683,137,13.6398243045388,121.755490483164,12.6368960468521,2.60761346998536,0.112026359143327,0.0995607613469984,0.210834553440694,0.200585651537335,random,20pct
2026H1,682,137,21.2932551319648,105.461876832845,28.9266862170087,2.61143695014663,0.20190476190476,0.155425219941349,0.385630498533719,0.200879765395894,random,20pct
2025H1,685,206,21.051094890511,166.303649635035,35.185401459854,4.51094890510949,0.126582278481014,0.102189781021898,0.294890510948911,0.3007299270073,random,30pct
2025H2,683,205,20.4099560761347,182.188872620792,18.9092240117131,3.90190336749634,0.112026359143327,0.0995607613469987,0.210834553440697,0.300146412884334,random,30pct
2026H1,682,205,31.8621700879766,157.807917888563,43.2844574780058,3.90762463343109,0.201904761904762,0.155425219941349,0.385630498533724,0.30058651026393,random,30pct
2025H1,685,50,5.10948905109489,40.3649635036495,8.54014598540144,1.09489051094891,0.126582278481013,0.102189781021898,0.294890510948908,0.072992700729927,random,50
2025H2,683,50,4.97803806734993,44.4363103953151,4.61200585651537,0.951683748169839,0.112026359143327,0.0995607613469985,0.210834553440697,0.0732064421669107,random,50
2026H1,682,50,7.77126099706744,38.4897360703813,10.5571847507332,0.953079178885631,0.201904761904762,0.155425219941349,0.385630498533724,0.0733137829912023,random,50
2025H1,685,69,10.7777777777778,46.9166666666668,19.0833333333333,3,0.229721728833629,0.156199677938808,0.476247987117551,0.153968253968254,last_three,10pct
2025H2,683,69,13.9605263157895,53.3289473684211,12.0986842105263,3.57236842105263,0.261781396496422,0.202326468344775,0.429443173150266,0.205301857585139,last_three,10pct
2026H1,682,69,20.6266666666667,44.3733333333335,22.4,2.22666666666667,0.464843749999998,0.298937198067633,0.655845410628017,0.194591194968553,last_three,10pct
2025H1,685,137,18.3333333333333,100.75,33.25,3,0.181968569065343,0.1338199513382,0.398418491484186,0.261904761904762,last_three,20pct
2025H2,683,137,25.5921052631579,115.065789473684,17.0197368421053,4.91447368421053,0.222412807318469,0.186803688052247,0.346907414521709,0.376354489164087,last_three,20pct
2026H1,682,137,35.1333333333333,97.8666666666666,36,3.13333333333333,0.358991825613079,0.256447688564477,0.542092457420925,0.331446540880503,last_three,20pct
2025H1,685,206,25.5079051383399,156.357707509882,46.001976284585,3.6403162055336,0.163138137189225,0.123824782224951,0.364806784604164,0.364398644833427,last_three,30pct
2025H2,683,205,35.8737270875764,176.702647657841,22.112016293279,6.18533604887984,0.203017484814606,0.174993790671104,0.313029655754807,0.527554810111417,last_three,30pct
2026H1,682,205,49.3562500000001,151.349999999999,49.5937500000001,4.05625,0.326106706309881,0.240762195121951,0.502469512195128,0.465625,last_three,30pct
2025H1,685,50,8.66666666666667,31.8750000000001,15.125,3,0.271895424836601,0.173333333333333,0.535833333333332,0.123809523809524,last_three,50
2025H2,683,50,10.7105263157895,36.078947368421,10.7236842105263,3.19736842105263,0.296863603209337,0.21421052631579,0.492631578947369,0.157507739938081,last_three,50
2026H1,682,50,15.6666666666667,29.6666666666667,18.3333333333333,2,0.52808988764045,0.313333333333333,0.72,0.147798742138365,last_three,50
2025H1,685,69,10.4545454545455,43.9090909090909,22.0909090909091,3,0.238095238095238,0.151515151515152,0.515151515151515,0.149350649350649,smoothed_history,10pct
2025H2,683,69,11.0769230769231,54,11,4,0.205128205128205,0.160535117056856,0.377926421404682,0.16289592760181,smoothed_history,10pct
2026H1,682,69,21.1282051282051,43.3846153846154,23.6153846153846,2,0.486997635933806,0.306205871423263,0.677443329617243,0.199322689888728,smoothed_history,10pct
2025H1,685,137,21.1578947368421,96.2631578947368,37.7368421052632,3,0.219792236194642,0.154437187860161,0.451786400307338,0.302255639097744,smoothed_history,20pct
2025H2,683,137,27.4,118.6,13.4,5,0.231028667790894,0.2,0.334306569343066,0.402941176470588,smoothed_history,20pct
2026H1,682,137,37.5,93.5,40.3333333333333,3.16666666666667,0.401069518716577,0.273722627737226,0.591240875912409,0.35377358490566,smoothed_history,20pct
2025H1,685,206,29.9438202247191,158.303370786517,44.6966292134832,3,0.189154659663567,0.145358350605433,0.37689538562234,0.42776886035313,smoothed_history,30pct
