model,n,failures,slots,hits,precision,recall
random,1685,244,338.000000000002,48.9178487268784,0.144727363097273,0.200482986585567
last_three,1685,244,338,83.7382771593686,0.24774638212831,0.343189660489216
smoothed_history,1685,244,338,92.1696969696969,0.272691411152949,0.377744659711873
logistic_basic,1685,244,338,92,0.272189349112426,0.377049180327869
