period,outcome_group,n,mean_risk,last_fail_rate
2025H1,Rated first visit,553,0.112298898037721,0.108499095840868
2025H1,No follow-up,15,0.133383766880203,0.2
2025H1,Unrated first visit,117,0.137701457811574,0.239316239316239
2025H2,Rated first visit,607,0.111651236513406,0.115321252059308
2025H2,Unrated first visit,63,0.131014761223274,0.222222222222222
2025H2,No follow-up,13,0.176106238360456,0.307692307692308
2026H1,Rated first visit,525,0.1168893108112,0.135238095238095
2026H1,Unrated first visit,144,0.132905260675527,0.159722222222222
2026H1,No follow-up,13,0.170299392390075,0.153846153846154
