period,n,failures,k,hits,precision,recall,auc,model
2025H1,420,54,84,16,0.19047619047619,0.296296296296296,0.61050394656952,history_only
2025H2,454,50,91,21,0.230769230769231,0.42,0.652054455445545,history_only
2026H1,393,85,79,30,0.379746835443038,0.352941176470588,0.630271199388846,history_only
2025H1,420,54,84,16,0.19047619047619,0.296296296296296,0.607012750455373,history_plus_complaints
2025H2,454,50,91,21,0.230769230769231,0.42,0.652475247524753,history_plus_complaints
2026H1,393,85,79,31,0.392405063291139,0.364705882352941,0.632181054239878,history_plus_complaints
2025H1,420,54,84,9.06451612903226,0.107910906298003,0.167861409796894,0.485377453956689,complaints_only
2025H2,454,50,91,13.3333333333333,0.146520146520147,0.266666666666667,0.550891089108911,complaints_only
2026H1,393,85,79,20.3194444444445,0.257208157524613,0.239052287581699,0.534969442322384,complaints_only
