period,n,k,hits,precision,recall,model
2025H1,515,103,12.8,0.124271844660194,0.2,random
2025H2,562,113,12.4661921708185,0.110320284697509,0.201067615658363,random
2026H1,486,98,19.358024691358,0.197530864197531,0.201646090534979,random
2025H1,515,103,18.6355140186916,0.180927320569821,0.291179906542056,last_three
2025H2,562,113,23.9370078740157,0.211831928088635,0.386080772161544,last_three
2026H1,486,98,33.8230088495575,0.345132743362832,0.352323008849557,last_three
2025H1,515,103,21,0.203883495145631,0.328125,logistic_basic
2025H2,562,113,26,0.230088495575221,0.419354838709677,logistic_basic
2026H1,486,98,38,0.387755102040816,0.395833333333333,logistic_basic
