term,estimate,se,odds_ratio,lower,upper
(Intercept),-2.72959628158717,0.223433581207788,0.0652456252119526,0.0421076392134065,0.101097845636124
last_fail,0.161422231082169,0.115370994352023,1.17518106204508,0.937344016062131,1.4733657066392
recent_rate,1.46738298342255,0.200276117617602,4.33786800108382,2.92952939149677,6.42324970332958
log_days,0.130738566506927,0.0484390579812135,1.13966979450649,1.03644647649095,1.25317348263649
boroughM,0.126540684923737,0.123730190812179,1.1348956233787,0.890501502438874,1.44636260852634
boroughQ,-0.139431369638116,0.0967451971407061,0.86985271946281,0.719605627921398,1.05147003330482
boroughR,-0.581089023274382,0.257247878168575,0.559288956104241,0.337802165346708,0.925998020465973
boroughX,-0.191041729533749,0.104853313696764,0.82609811474276,0.672633802561838,1.0145759737057
halfH2,-0.0404970932149463,0.072386542676202,0.960311955927796,0.83328903445552,1.10669769379654
