nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
MN0903,Hamilton Heights-Sugar Hill,Manhattan,25,31.297,0.7988,0.0001,FALSE,FALSE,53598,0.0104,0,0,0.9896,0.9896,1,0.0311,0.9689,0.9567,11,0,0,1,0.3838,0,0,8,9,0.2222,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Alexander Hamilton Playground [failing, 38%]",1019.9688,8038695
MN0802,Upper East Side-Carnegie Hill,Manhattan,35,43.9496,0.7964,0,FALSE,FALSE,56073,0.1626,0.1017,0.3782,0.6882,0.4389,0.6376,0.4339,0.4789,0.6352,11,0,0,1,0.0463,0,0,13,21,0.1905,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Cherry Tree Park [failing, 5%]",4048.8055,43985904
MN0702,Upper West Side (Central),Manhattan,71,89.7766,0.7909,0,FALSE,FALSE,101153,0.0282,0.2409,0,0.9718,0.9203,0.9469,0.1421,0.8579,0.8974,13,0,0,0,0,0,0,14,21,0.0952,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",929.4077,17044313
QN1102,Bayside,Queens,8,10.1785,0.786,0.0108,FALSE,FALSE,35395,0.4621,,,0.5379,0.4249,0.7898,0.643,0.357,0.7621,8,0,0,1,0.0366,0.2275,0,7,11,0.0909,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"John Golden Park [failing, 4%]",0,0
SI0301,Oakwood-Richmondtown,Staten Island,2,2.5465,0.7854,0.0709,FALSE,FALSE,21154,0.7256,,,0.2744,0.2744,1,0.7931,0.2069,1,3,0,0,0,0,0,0,1,1,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
BK1302,Coney Island-Sea Gate,Brooklyn,8,10.2183,0.7829,0.0105,FALSE,FALSE,54465,0.2264,,0.0712,0.6819,0.6269,0.9193,0.3533,0.6053,0.834,17,5,2,1,0.2443,0.6465,4.8821,10,10,0.3,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Asser Levy Park [long-term closed, 17%]; Surf Playground [failing, 24%]; Nautilus Playground [long-term closed, 17%]; Grady Playground [long-term closed, 6%]; Luna Playground [long-term closed, 15%]; Coney Island Beach Zone 4a (PIP B169-ZN04A) [long-term closed, 6%]",0,4778306
BX0702,Bedford Park,Bronx,9,11.5957,0.7761,0.0072,FALSE,FALSE,49148,0.2677,,0,0.7323,0.7295,0.9962,0.551,0.449,0.9937,13,3,1,0,0.2741,8.2335,7.6374,8,8,0.25,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Poe Park [long-term closed, 27%]; Mosholu Parkway Zone 4 [long-term closed, 21%]; Mosholu Parkway Zone 2 (PIP X033-ZN02) [long-term closed, 11%]",0,5758445
BK1001,Bay Ridge,Brooklyn,24,31.008,0.774,0.0001,FALSE,FALSE,84838,0.2607,,0.5646,0.7393,0.5836,0.7894,0.4305,0.5695,0.7467,10,1,1,1,0.0629,2.3407,0,9,13,0.2308,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Shore Road Park Zone 2 [long-term closed, 4%]; Shore Road Park Zone 4 [failing, 6%]",0,7251599
SI0305,Tottenville-Charleston,Staten Island,3,3.8784,0.7735,0.0486,FALSE,FALSE,17425,0.7584,,,0.2416,0.0797,0.3299,0.8392,0.1608,0.3191,2,0,0,0,0,0,0,2,3,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
MN1001,Harlem (South),Manhattan,30,39.303,0.7633,0,FALSE,FALSE,48446,0.0082,0,0,0.9918,0.9603,0.9683,0.0948,0.9052,0.8253,13,2,1,0,0.2375,0,0.8245,10,12,0.25,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Marcus Garvey Park Zone 1 [long-term closed, 24%]; St. Nicholas Playground South [long-term closed, 9%]",1993.0987,10848270
