nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
QN1402,Rockaway Beach-Arverne-Edgemere,Queens,7,13.2838,0.527,0.0003,FALSE,FALSE,42621,0.2792,,0,0.7208,0.58,0.8046,0.394,0.606,0.7878,10,3,2,0,0.1129,10.0635,0,8,10,0,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Bayswater Playground [long-term closed, 1%]; Arverne East Nature Preserve [long-term closed, 11%]; Rockaway Community Playground [long-term closed, 8%]",0,904596
BK0901,Crown Heights (South),Brooklyn,11,20.9613,0.5248,0,FALSE,FALSE,53466,0.1665,,0.4724,0.8335,0.7324,0.8787,0.3693,0.6307,0.7806,6,0,0,0,0,0,0,8,10,0.2,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,11825982
QN1302,Bellerose,Queens,3,5.7849,0.5186,0.0092,FALSE,FALSE,26891,0.4138,,,0.5423,0.48,0.8851,0.5601,0.4101,0.8619,6,0,0,0,0,0,0,5,6,0.1667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
QN0601,Rego Park,Queens,6,11.7532,0.5105,0.0005,FALSE,FALSE,29744,0.1957,0,0,0.8043,0.4729,0.5879,0.4058,0.5942,0.5669,5,1,1,0,0.1485,8.04,0,3,4,0.25,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Hoffman Park [long-term closed, 15%]",7.1232,3261027
BK1704,East Flatbush-Remsen Village,Brooklyn,3,5.9066,0.5079,0.0082,FALSE,FALSE,38240,0.0498,,,0.9502,0.7595,0.7993,0.1874,0.8126,0.7378,7,1,0,1,0.4674,29.0507,0.9948,6,7,0.2857,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Kennedy King Playground [failing, 47%]; Osborn Playground [long-term closed, 4%]",0,0
QN0201,Long Island City-Hunters Point,Queens,18,37.5165,0.4798,0,FALSE,FALSE,30464,0.2989,0.7571,0.2919,0.7011,0.4688,0.6686,0.4061,0.5939,0.5245,5,0,0,1,0.2362,20.0326,0,5,6,0,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Murray Playground [failing, 24%]",536.5917,15893174
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,10,21.0868,0.4742,0,FALSE,FALSE,64244,0.2388,,0,0.7612,0.6284,0.8256,0.4014,0.5986,0.8274,11,2,1,3,0.2034,22.1206,0.3453,8,8,0.375,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Bill Brown Playground [failing, 20%]; Mellett Playground [long-term closed, 4%]; Galapo Playground [failing, 9%]; Playground 286 [failing, 18%]; Grady Playground [long-term closed, 0%]",0,3848527
BK1102,Bath Beach,Brooklyn,2,4.3397,0.4609,0.0145,FALSE,FALSE,30170,0.0202,0,,0.868,0.6905,0.7955,0.2093,0.7319,0.8296,6,2,1,0,0.2919,1.6579,0,5,6,0.3333,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Bensonhurst Park [long-term closed, 29%]; Garibaldi Playground [long-term closed, 7%]",81.6047,0
QN1104,Oakland Gardens-Hollis Hills,Queens,2,4.5311,0.4414,0.0121,FALSE,FALSE,24840,0.2009,,,0.7938,0.7129,0.898,0.4239,0.5761,0.8514,6,0,0,0,0,0,0,7,8,0.125,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,0
QN0707,Flushing-Willets Point,Queens,14,32.8668,0.426,0,FALSE,FALSE,61079,0.0972,0.8841,0,0.8863,0.7204,0.8129,0.2659,0.7286,0.7673,7,0,0,0,0,0,0,7,8,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",367.2358,15017678
QN1103,Douglaston-Little Neck,Queens,2,4.8964,0.4085,0.0085,FALSE,FALSE,25623,0.4368,,,0.5111,0.4206,0.823,0.5788,0.3888,0.7689,3,0,0,0,0,0,0,5,6,0.1667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
BX1002,Throgs Neck-Schuylerville,Bronx,3,7.3462,0.4084,0.0021,FALSE,FALSE,47903,0.4946,,,0.4415,0.2158,0.4888,0.6346,0.3406,0.4738,2,0,0,0,0,0,0,3,4,0.5,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,3,7.3566,0.4078,0.002,FALSE,FALSE,35957,0.4584,,,0.5416,0.4584,0.8464,0.6221,0.3779,0.7584,10,2,0,0,0.1087,0,1.4179,8,9,0,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Tappen Park [long-term closed, 1%]; Prall Playground [long-term closed, 11%]",0,0
BX0501,University Heights (South)-Morris Heights,Bronx,4,10.7213,0.3731,0.0002,FALSE,FALSE,53624,0.1378,0,0,0.8622,0.4755,0.5515,0.3383,0.6617,0.4886,5,1,1,0,0.1302,0,0,2,3,0.3333,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Aqueduct Walk Zone 2 [long-term closed, 13%]",123.6047,3189989
QN1205,St. Albans,Queens,5,13.8876,0.36,0,FALSE,FALSE,54727,0.5344,,,0.4656,0.3308,0.7106,0.6941,0.3059,0.7203,9,0,0,2,0.0604,8.8615,0,9,11,0.0909,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"174 St Playground [failing, 6%]; Nautilus Playground [failing, 5%]",0,0
BX0601,West Farms,Bronx,1,2.9628,0.3375,0.0216,FALSE,FALSE,18442,0.1067,,0,0.8933,0.8933,1,0.225,0.775,1,7,1,0,0,0.5187,0,4.2002,6,8,0,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Crotona Malls Zone 1 [long-term closed, 52%]",0,3629920
MN1101,East Harlem (South),Manhattan,12,37.0176,0.3242,0,FALSE,FALSE,61875,0,,0,1,1,1,0.069,0.931,1,10,0,0,2,0.456,21.3753,0,10,14,0.3571,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Cherry Tree Park [failing, 46%]; Poor Richard's Playground [failing, 37%]",0,9864390
BK1202,Borough Park,Brooklyn,12,38.4707,0.3119,0,FALSE,FALSE,89673,0.4931,,1,0.5069,0.2565,0.506,0.6653,0.3347,0.5409,4,0,0,0,0,0,0,5,5,0.2,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,2843964
QN0801,Kew Gardens Hills,Queens,3,9.7256,0.3085,0.0002,FALSE,FALSE,35598,0.3006,,,0.6994,0.602,0.8608,0.4411,0.5589,0.8,7,0,0,0,0,0,0,7,7,0.1429,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,0
BX0703,Norwood,Bronx,4,13.1545,0.3041,0,FALSE,FALSE,39556,0.1232,,0.3458,0.8768,0.8768,1,0.278,0.722,1,8,2,0,1,0.2858,0,1.7216,6,6,0.3333,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Rosewood Playground [failing, 13%]; Mosholu Parkway Zone 4 [long-term closed, 10%]; Mosholu Parkway Zone 2 (PIP X033-ZN02) [long-term closed, 29%]",0,4321194
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,7,23.4394,0.2986,0,FALSE,FALSE,29051,0.2336,,0.6454,0.7664,0.6382,0.8327,0.3171,0.6829,0.7047,5,0,0,0,0,0,0,5,6,0,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,8016436
BK0503,East New York-New Lots,Brooklyn,5,17.2773,0.2894,0,FALSE,FALSE,51641,0.4201,,0.2626,0.5799,0.4225,0.7286,0.6079,0.3921,0.6535,10,5,1,0,0.2341,2.479,10.338,6,7,0.5714,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Breukelen Playground [long-term closed, 5%]; Jerome Playground [long-term closed, 17%]; Sankofa Park [long-term closed, 23%]; Osborn Playground [long-term closed, 1%]; Ethan Allen Playground [long-term closed, 14%]",0,3086288
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,1,3.4817,0.2872,0.013,FALSE,FALSE,22157,0.5983,,,0.4017,0.326,0.8116,0.7268,0.2732,0.7698,3,0,0,0,0,0,0,2,2,0.5,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
BK0505,East New York-City Line,Brooklyn,4,14.5902,0.2742,0,FALSE,FALSE,47234,0.1906,,0,0.8094,0.7899,0.9759,0.3408,0.6592,0.9557,6,1,1,1,0.3084,43.1273,0,4,7,0.5714,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Pink Playground [failing, 22%]; Robert E. Venable Park [long-term closed, 31%]",0,3391839
BK0103,South Williamsburg,Brooklyn,4,17.2286,0.2322,0,FALSE,FALSE,50948,0.3449,,0,0.6551,0.5952,0.9086,0.4721,0.5279,0.8595,10,2,1,0,0.3614,4.45,13.9069,6,8,0.375,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Sternberg Park [long-term closed, 13%]; De Hostos Playground [long-term closed, 36%]",0,4445566
QN0802,Pomonok-Electchester-Hillcrest,Queens,2,9.1762,0.218,0.0001,FALSE,FALSE,34432,0.2805,,,0.7195,0.7195,1,0.3744,0.6256,0.9676,7,0,0,0,0,0,0,8,8,0.125,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,0
QN0905,Woodhaven,Queens,3,15.2235,0.1971,0,FALSE,FALSE,39914,0.3059,0,0.3361,0.6941,0.5433,0.7827,0.4425,0.5575,0.7627,6,2,2,0,0.3432,16.4934,0,5,6,0.1667,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"The Bandshell [long-term closed, 6%]; Equity Playground [long-term closed, 34%]",16.218,2551099
QN0701,College Point,Queens,1,9.263,0.108,0,FALSE,FALSE,30120,0.4402,,,0.5598,0.4058,0.7249,0.5742,0.4258,0.7165,6,1,0,0,0.0235,0,1.5269,4,5,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"College Point Fields [long-term closed, 2%]",0,0
QN1003,Howard Beach-Lindenwood,Queens,1,9.6628,0.1035,0,FALSE,FALSE,31308,0.5759,,,0.4241,0.3302,0.7785,0.6744,0.3256,0.7077,3,1,1,0,0.0102,1.0175,0,2,3,0.3333,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"Robert E. Venable Park [long-term closed, 1%]",0,0
BX0302,Claremont Village-Claremont (East),Bronx,0,2.7717,0,0.0094,FALSE,FALSE,24213,0,,,0.9486,0.9486,1,0.1017,0.8915,0.9493,11,0,0,1,0.1591,3.7898,0,10,11,0.1818,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Claremont Zone 1 [failing, 16%]",0,0
BX1004,Co-op City,Bronx,0,4.12,0,0.0021,FALSE,FALSE,36000,0.6795,,,0.3205,0.0255,0.0795,0.8335,0.1665,0,1,0,0,0,0,0,0,1,1,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,0,3.6184,0,0.0037,FALSE,FALSE,23027,0.5302,,,0.4698,0.4574,0.9736,0.6487,0.3513,0.9765,3,1,0,0,0.0124,0,0,3,3,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"Tappen Park [long-term closed, 1%]",0,0
SI0303,Arden Heights-Rossville,Staten Island,0,5.3961,0,0.0005,FALSE,FALSE,31824,0.9104,,,0.0799,0.0292,0.3651,0.962,0.0283,0.6161,1,0,0,0,0,0,0,1,1,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,0
