type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
Sanisette;En service;164 bd voltaire;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3835310004540045, 48.85565300038383], ""type"": ""Point""}";48.85565300038383, 2.3835310004540045
Sanisette;En service;170 av ledru-rollin;75011;24/24h;Oui;Non;;"{""coordinates"": [2.3793530002626153, 48.85705699961709], ""type"": ""Point""}";48.85705699961709, 2.3793530002626153
Sanisette;En service;125 av ledru-rollin;75011;00h00 - 01h00;Oui;Non;;"{""coordinates"": [2.3776669999727487, 48.85414100002846], ""type"": ""Point""}";48.85414100002846, 2.3776669999727487
Sanisette;En service;4 pl de l'abbe georges henocque;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.35310099937436, 48.824060999722725], ""type"": ""Point""}";48.824060999722725, 2.35310099937436
Sanisette;En service;77 bd massena;75013;24/24h;Oui;Non;;"{""coordinates"": [2.369023000521541, 48.821251000296556], ""type"": ""Point""}";48.821251000296556, 2.369023000521541
Sanisette;En service;1 z pl louis armstrong;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3600550005799796, 48.835833999662924], ""type"": ""Point""}";48.835833999662924, 2.3600550005799796
WC;En service;17 allee de la deuxieme db;75015;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-atlantique-1775;"{""coordinates"": [2.3196854418888537, 48.83980953562733], ""type"": ""Point""}";48.83980953562733, 2.3196854418888537
Sanisette;En service;6 bd du montparnasse;75015;24/24h;Oui;Non;;"{""coordinates"": [2.316950999507549, 48.84652499973139], ""type"": ""Point""}";48.84652499973139, 2.316950999507549
Sanisette;En service;22 pl dupleix;75015;24/24h;Oui;Non;;"{""coordinates"": [2.295117000147868, 48.85105900025366], ""type"": ""Point""}";48.85105900025366, 2.295117000147868
Sanisette;En service;18 rue leon lhermitte;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2978170002501836, 48.842868999580126], ""type"": ""Point""}";48.842868999580126, 2.2978170002501836
Sanisette;En service;26 pl etienne pernet;75015;24/24h;Oui;Non;;"{""coordinates"": [2.292144000168206, 48.84260699987145], ""type"": ""Point""}";48.84260699987145, 2.292144000168206
Sanisette;En service;38 av raphael;75016;00h01 - 00h02;Oui;Non;;"{""coordinates"": [2.266699000196737, 48.85720199962261], ""type"": ""Point""}";48.85720199962261, 2.266699000196737
