type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
WC;Hors service;23 rue carpeaux;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-carpeaux-2646;"{""coordinates"": [2.3316192813555867, 48.891476402299865], ""type"": ""Point""}";48.891476402299865, 2.3316192813555867
Sanisette;En service;2 rue saint-bruno;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.356305999707875, 48.885984000259434], ""type"": ""Point""}";48.885984000259434, 2.356305999707875
Sanisette;En service;30 rue marc seguin;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3615539994578914, 48.89209499970645], ""type"": ""Point""}";48.89209499970645, 2.3615539994578914
Sanisette;En service;179 av de flandre;75019;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.382028999632136, 48.89473799969621], ""type"": ""Point""}";48.89473799969621, 2.382028999632136
Urinoir;En service;9 rue piat;75020;24/24h;Non;Non;;"{""coordinates"": [2.385813917618, 48.87142182795628], ""type"": ""Point""}";48.87142182795628, 2.385813917618
WC;Hors service;40 rue le vau;75020;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-emmanuel-fleury-2720;"{""coordinates"": [2.4110869068483605, 48.869910694027446], ""type"": ""Point""}";48.869910694027446, 2.4110869068483605
WC;En service;144 voie georges pompidou;75001;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.343958413401344, 48.857975184227456], ""type"": ""Point""}";48.857975184227456, 2.343958413401344
Sanisette;En service;34 rue du grenier saint-lazare;75003;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.352738000085078, 48.86309999967739], ""type"": ""Point""}";48.86309999967739, 2.352738000085078
Sanisette;En service;2 rue mornay;75004;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.366126999945174, 48.84949300006735], ""type"": ""Point""}";48.84949300006735, 2.366126999945174
Sanisette;En service;10 rue d'arcole;75004;00h01 - 00h02;Oui;Non;;"{""coordinates"": [2.349242000048236, 48.8538159998011], ""type"": ""Point""}";48.8538159998011, 2.349242000048236
Sanisette;En service;123 rue saint-jacques;75005;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3439919994121317, 48.84782200009687], ""type"": ""Point""}";48.84782200009687, 2.3439919994121317
WC;En service;7 rue laure diebold;75008;Horaires du parc;Oui;Non;;"{""coordinates"": [2.304961341601859, 48.87581195724887], ""type"": ""Point""}";48.87581195724887, 2.304961341601859
Sanisette;En service;79 v rue la fayette;75009;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.346886999517786, 48.87677500038332], ""type"": ""Point""}";48.87677500038332, 2.346886999517786
Sanisette;En service;58 av de la republique;75011;24/24h;Oui;Non;;"{""coordinates"": [2.3760440001918792, 48.86490000031819], ""type"": ""Point""}";48.86490000031819, 2.3760440001918792
Sanisette;En service;54 bd du temple;75011;24/24h;Oui;Non;;"{""coordinates"": [2.365007000217622, 48.86626700040959], ""type"": ""Point""}";48.86626700040959, 2.365007000217622
Sanisette;En service;131 bd de charonne;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3924470002462113, 48.8574710001974], ""type"": ""Point""}";48.8574710001974, 2.3924470002462113
WC;En service;2 carrefour de la pyramide;75012;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/parc-floral-de-paris-1;"{""coordinates"": [2.4446432727101692, 48.83825700255321], ""type"": ""Point""}";48.83825700255321, 2.4446432727101692
WC;En service;2 rue du sahel;75012;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-charles-peguy-2575;"{""coordinates"": [2.402205289443234, 48.841005862551526], ""type"": ""Point""}";48.841005862551526, 2.402205289443234
WC;En service;2 carrefour de la pyramide;75012;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/parc-floral-de-paris-1;"{""coordinates"": [2.4475953145869003, 48.83742064610817], ""type"": ""Point""}";48.83742064610817, 2.4475953145869003
Sanisette;En service;10 pl nationale;75013;24/24h;Oui;Non;;"{""coordinates"": [2.365296999680814, 48.829382999912745], ""type"": ""Point""}";48.829382999912745, 2.365296999680814
Sanisette;En service;156 av de choisy;75013;24/24h;Oui;Non;;"{""coordinates"": [2.35847500032991, 48.82820400038698], ""type"": ""Point""}";48.82820400038698, 2.35847500032991
WC;Hors service;2 rue eugene atget;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-brassai-2571;"{""coordinates"": [2.349436628935091, 48.82858708787678], ""type"": ""Point""}";48.82858708787678, 2.349436628935091
WC;En service;63 rue du moulin de la pointe;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-du-monument-aux-meres-francaises-2564;"{""coordinates"": [2.35678871657851, 48.821014127516676], ""type"": ""Point""}";48.821014127516676, 2.35678871657851
WC;En service;21 avenue boutroux;75013;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-clara-zetkin-ex-square-boutroux-2517;"{""coordinates"": [2.3758995602355886, 48.82166498960514], ""type"": ""Point""}";48.82166498960514, 2.3758995602355886
WC;En service;28 boulevard jourdan;75014;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [2.336591562073573, 48.82227702153403], ""type"": ""Point""}";48.82227702153403, 2.336591562073573
WC;Hors service;72 rue du moulin vert;75014;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-alberto-giacometti-2866;"{""coordinates"": [2.320531757502638, 48.83134761087849], ""type"": ""Point""}";48.83134761087849, 2.320531757502638
Sanisette;En service;103 bd brune;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.315061000374368, 48.82566699985328], ""type"": ""Point""}";48.82566699985328, 2.315061000374368
Sanisette;En service;73 qu jacques chirac;75015;24/24h;Oui;Non;;"{""coordinates"": [2.291110000602172, 48.85724500040771], ""type"": ""Point""}";48.85724500040771, 2.291110000602172
WC;En service;2 rue de la montagne de la fage;75015;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-andre-citroen-1791;"{""coordinates"": [2.2752968060267973, 48.84209645009474], ""type"": ""Point""}";48.84209645009474, 2.2752968060267973
Sanisette;En service;41 rue des morillons;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2995150000862523, 48.833131999824694], ""type"": ""Point""}";48.833131999824694, 2.2995150000862523
Sanisette;En service;9 qu louis bleriot;75016;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2778989993259198, 48.85084100025581], ""type"": ""Point""}";48.85084100025581, 2.2778989993259198
Sanisette;En service;62 bd murat;75016;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2561819999758157, 48.8422429999721], ""type"": ""Point""}";48.8422429999721, 2.2561819999758157
Sanisette;En service;132 bd bessieres;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3143000003616483, 48.89484000010782], ""type"": ""Point""}";48.89484000010782, 2.3143000003616483
WC;En service;1 rue maria deraismes;75017;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-des-epinettes-2631;"{""coordinates"": [2.326850236952466, 48.894764966209635], ""type"": ""Point""}";48.894764966209635, 2.326850236952466
Sanisette;En service;17 rue rene binet;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3405330004326794, 48.8992760000466], ""type"": ""Point""}";48.8992760000466, 2.3405330004326794
Sanisette;En service;16 pl saint-pierre;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3427400006679586, 48.88447100021972], ""type"": ""Point""}";48.88447100021972, 2.3427400006679586
Sanisette;En service;60 bd de la chapelle;75018;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3551060006538584, 48.88419800002976], ""type"": ""Point""}";48.88419800002976, 2.3551060006538584
Sanisette;En service;77 bd de clichy;75018;24/24h;Oui;Non;;"{""coordinates"": [2.328972999602953, 48.88421400037466], ""type"": ""Point""}";48.88421400037466, 2.328972999602953
Sanisette;En service;69 av de flandre;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3739280000810385, 48.888696000220584], ""type"": ""Point""}";48.888696000220584, 2.3739280000810385
Urinoir;En service;18 quai de la seine;75019;24/24h;Non;Non;;"{""coordinates"": [2.372034229443866, 48.88531561271516], ""type"": ""Point""}";48.88531561271516, 2.372034229443866
Sanisette;En service;7 p1 av de la porte de la villette;75019;24/24h;Oui;Non;;"{""coordinates"": [2.386777000523741, 48.89897599974761], ""type"": ""Point""}";48.89897599974761, 2.386777000523741
WC;En service;12 square de la salamandre;75020;Horaires du parc;Oui;Non;;"{""coordinates"": [2.4060322699889594, 48.857736689764785], ""type"": ""Point""}";48.857736689764785, 2.4060322699889594
WC;En service;246 rue de belleville;75020;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-belleville-telegraphe-2724;"{""coordinates"": [2.3992812572847195, 48.87498499083153], ""type"": ""Point""}";48.87498499083153, 2.3992812572847195
Sanisette;En service;23 bd de sebastopol;75001;24/24h;Oui;Non;;"{""coordinates"": [2.348837000178527, 48.85988000001835], ""type"": ""Point""}";48.85988000001835, 2.348837000178527
WC;En service;14 impasse berthaud;75003;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-anne-frank-2737;"{""coordinates"": [2.3545285827832645, 48.86140027291512], ""type"": ""Point""}";48.86140027291512, 2.3545285827832645
Sanisette;En service;90 bd de sebastopol;75003;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3525500005526423, 48.86603499956287], ""type"": ""Point""}";48.86603499956287, 2.3525500005526423
WC;En service;73 boulevard saint germain;75005;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-paul-painleve-2444;"{""coordinates"": [2.3440871652208792, 48.85081103484684], ""type"": ""Point""}";48.85081103484684, 2.3440871652208792
WC;En service;2 quai saint bernard;75005;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-tino-rossi-1786;"{""coordinates"": [2.359146507792513, 48.848436644167236], ""type"": ""Point""}";48.848436644167236, 2.359146507792513
Sanisette;En service;75b rue monge;75005;24/24h;Oui;Non;;"{""coordinates"": [2.3520940005625017, 48.843135999716935], ""type"": ""Point""}";48.843135999716935, 2.3520940005625017
Sanisette;En service;51 bd de courcelles;75008;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.304040999956061, 48.87923899966627], ""type"": ""Point""}";48.87923899966627, 2.304040999956061
Sanisette;En service;54 qu de jemmapes;75010;24/24h;Oui;Non;;"{""coordinates"": [2.3666020002139914, 48.87004800003424], ""type"": ""Point""}";48.87004800003424, 2.3666020002139914
Sanisette;En service;143 bd de magenta;75010;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3506540002472054, 48.88221799966364], ""type"": ""Point""}";48.88221799966364, 2.3506540002472054
Sanisette;En service;44 av philippe-auguste;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.393696000462172, 48.85211699990634], ""type"": ""Point""}";48.85211699990634, 2.393696000462172
Sanisette;En service;8 pl leon blum;75011;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.380220999817642, 48.85828900018697], ""type"": ""Point""}";48.85828900018697, 2.380220999817642
Sanisette;En service;18 av jean aicard;75011;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3809620003827687, 48.86568599967996], ""type"": ""Point""}";48.86568599967996, 2.3809620003827687
Sanisette;En service;133 av parmentier;75011;24/24h;Oui;Non;;"{""coordinates"": [2.371148999796178, 48.86969599974975], ""type"": ""Point""}";48.86969599974975, 2.371148999796178
Sanisette;En service;12 bd de bercy;75012;24/24h;Oui;Non;;"{""coordinates"": [2.378220999802014, 48.83961600028436], ""type"": ""Point""}";48.83961600028436, 2.378220999802014
Sanisette;En service;92 rue de lyon;75012;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3702969996401757, 48.85084399988939], ""type"": ""Point""}";48.85084399988939, 2.3702969996401757
Sanisette;En service;153p bd vincent auriol;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.361663999679988, 48.83251000032607], ""type"": ""Point""}";48.83251000032607, 2.361663999679988
Sanisette;En service;37 rue charles moureu;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3607159996714113, 48.829127999752224], ""type"": ""Point""}";48.829127999752224, 2.3607159996714113
WC;En service;7 rue sainte leonie;75014;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-alberto-giacometti-2866;"{""coordinates"": [2.3198918705057547, 48.83377543414644], ""type"": ""Point""}";48.83377543414644, 2.3198918705057547
Sanisette;En service;65 av du general leclerc;75014;24/24h;Oui;Non;;"{""coordinates"": [2.3279549995752253, 48.82896699969239], ""type"": ""Point""}";48.82896699969239, 2.3279549995752253
Sanisette;En service;167 v av du maine;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3253950006661976, 48.832022000030875], ""type"": ""Point""}";48.832022000030875, 2.3253950006661976
Sanisette;En service;34 bd edgar quinet;75014;24/24h;Oui;Non;;"{""coordinates"": [2.3268410003738786, 48.840455999570636], ""type"": ""Point""}";48.840455999570636, 2.3268410003738786
WC;En service;43 rue blomet;75015;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-de-l-oiseau-lunaire-ex-blomet-2519;"{""coordinates"": [2.30558818110809, 48.84213546483047], ""type"": ""Point""}";48.84213546483047, 2.30558818110809
WC;En service;2 place jacques marette;75015;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-georges-brassens-1805;"{""coordinates"": [2.299950907200807, 48.831621530311644], ""type"": ""Point""}";48.831621530311644, 2.299950907200807
Sanisette;En service;25 av de lowendal;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3035700001032366, 48.849187999731], ""type"": ""Point""}";48.849187999731, 2.3035700001032366
Sanisette;En service;25 rue lambert;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3451110000948807, 48.88912500041226], ""type"": ""Point""}";48.88912500041226, 2.3451110000948807
WC;Hors service;20 rue des gardes;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-leon-2663;"{""coordinates"": [2.3533236521311065, 48.88589735591783], ""type"": ""Point""}";48.88589735591783, 2.3533236521311065
WC;En service;7 rue botzaris;75019;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-des-buttes-chaumont-1757;"{""coordinates"": [2.3807900741875963, 48.87685545505606], ""type"": ""Point""}";48.87685545505606, 2.3807900741875963
Sanisette;En service;9 crs de vincennes;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.400034999342383, 48.84828000022474], ""type"": ""Point""}";48.84828000022474, 2.400034999342383
Sanisette;En service;64 rue du volga;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.408976999582062, 48.8527449998664], ""type"": ""Point""}";48.8527449998664, 2.408976999582062
Sanisette;En service;9 rue coquilliere;75001;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3424760006223413, 48.8635660000149], ""type"": ""Point""}";48.8635660000149, 2.3424760006223413
WC;En service;5 rue du parc royal;75003;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-leopold-achille-2431;"{""coordinates"": [2.363290756873782, 48.858224759756716], ""type"": ""Point""}";48.858224759756716, 2.363290756873782
Sanisette;En service;17 rue de l'ave maria;75004;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.359600999616255, 48.85321800009419], ""type"": ""Point""}";48.85321800009419, 2.359600999616255
Sanisette;En service;2 z pl jussieu;75005;24/24h;Oui;Non;;"{""coordinates"": [2.3548760000015174, 48.84623700043839], ""type"": ""Point""}";48.84623700043839, 2.3548760000015174
WC;En service;;75008;Horaires du parc;Oui;Non;;"{""coordinates"": [2.312433694953087, 48.86958033266654], ""type"": ""Point""}";48.86958033266654, 2.312433694953087
Sanisette;En service;21 rue d'amsterdam;75009;24/24h;Oui;Non;;"{""coordinates"": [2.32703499949662, 48.87761600030234], ""type"": ""Point""}";48.87761600030234, 2.32703499949662
WC;En service;79 rue la fayette;75009;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-montholon-2469;"{""coordinates"": [2.3467356473599623, 48.877220135034726], ""type"": ""Point""}";48.877220135034726, 2.3467356473599623
Sanisette;En service;154 rue du faubourg saint-martin;75010;24/24h;Oui;Non;;"{""coordinates"": [2.36045199996412, 48.87575799968338], ""type"": ""Point""}";48.87575799968338, 2.36045199996412
Urinoir;En service;30 rue des ecluses saint-martin;75010;24/24h;Non;Non;;"{""coordinates"": [2.3656811726382156, 48.87730188526426], ""type"": ""Point""}";48.87730188526426, 2.3656811726382156
Sanisette;En service;10 p pl jacques bonsergent;75010;24/24h;Oui;Non;;"{""coordinates"": [2.36099799953849, 48.87111399971983], ""type"": ""Point""}";48.87111399971983, 2.36099799953849
Sanisette;En service;5 bd kellermann;75013;24/24h;Oui;Non;;"{""coordinates"": [2.3575760003024606, 48.818985999956716], ""type"": ""Point""}";48.818985999956716, 2.3575760003024606
Sanisette;En service;117 bd massena;75013;24/24h;Oui;Non;;"{""coordinates"": [2.3640220002201393, 48.81960500001131], ""type"": ""Point""}";48.81960500001131, 2.3640220002201393
Sanisette;En service;27 av d'ivry;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.366831000158784, 48.822675000277414], ""type"": ""Point""}";48.822675000277414, 2.366831000158784
WC;En service;28 boulevard jourdan;75014;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [2.3369443388318576, 48.82376170264877], ""type"": ""Point""}";48.82376170264877, 2.3369443388318576
Sanisette;En service;38 rue cambronne;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.301903999451625, 48.84554300024747], ""type"": ""Point""}";48.84554300024747, 2.301903999451625
Sanisette;En service;1 v av roger cahen;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3020870000183318, 48.84785199976075], ""type"": ""Point""}";48.84785199976075, 2.3020870000183318
Sanisette;En service;1 v av emile zola;75015;24/24h;Oui;Non;;"{""coordinates"": [2.2775840006165198, 48.84624299973706], ""type"": ""Point""}";48.84624299973706, 2.2775840006165198
Sanisette;En service;1 v pl charles vallin;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3026020002043985, 48.83566000042267], ""type"": ""Point""}";48.83566000042267, 2.3026020002043985
WC;En service;11 avenue marcel proust;75016;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-de-passy-2625;"{""coordinates"": [2.2829801193776933, 48.855364641497715], ""type"": ""Point""}";48.855364641497715, 2.2829801193776933
Sanisette;En service;4 pl de la porte d'auteuil;75016;24/24h;Oui;Non;;"{""coordinates"": [2.2571669993722003, 48.84845599967594], ""type"": ""Point""}";48.84845599967594, 2.2571669993722003
WC;En service;1 avenue de la  porte d'auteuil;75016;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-des-poetes-2778;"{""coordinates"": [2.256663501525257, 48.84762442984191], ""type"": ""Point""}";48.84762442984191, 2.256663501525257
Sanisette;En service;72 av de villiers;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3042199996773927, 48.88403600002253], ""type"": ""Point""}";48.88403600002253, 2.3042199996773927
Sanisette;En service;135 av de clichy;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3196469999756277, 48.890815999562285], ""type"": ""Point""}";48.890815999562285, 2.3196469999756277
Sanisette;En service;36 rue de la charbonniere;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3521919996635696, 48.88409599982888], ""type"": ""Point""}";48.88409599982888, 2.3521919996635696
Sanisette;En service;2 rue ronsard;75018;24/24h;Oui;Non;;"{""coordinates"": [2.344348000195785, 48.88513800043196], ""type"": ""Point""}";48.88513800043196, 2.344348000195785
Sanisette;En service;1 v voie bq/18;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3444070003233, 48.90111799966754], ""type"": ""Point""}";48.90111799966754, 2.3444070003233
WC;En service;7 rue girardon;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-suzanne-buisson-2688;"{""coordinates"": [2.3371101598781707, 48.88837160642731], ""type"": ""Point""}";48.88837160642731, 2.3371101598781707
Sanisette;En service;52 qu de la loire;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3757979994329954, 48.88580000040487], ""type"": ""Point""}";48.88580000040487, 2.3757979994329954
Sanisette;En service;131 rue d'avron;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4092419994786365, 48.85332099971272], ""type"": ""Point""}";48.85332099971272, 2.4092419994786365
Sanisette;En service;296 rue des pyrenees;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.392061000008219, 48.87193799995212], ""type"": ""Point""}";48.87193799995212, 2.392061000008219
WC;En service;7 rue de noisy le sec;75020;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-leon-frapie-2722;"{""coordinates"": [2.4121436972104693, 48.872420405495575], ""type"": ""Point""}";48.872420405495575, 2.4121436972104693
Sanisette;En service;3 rue belgrand;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4007799997498127, 48.864860999801245], ""type"": ""Point""}";48.864860999801245, 2.4007799997498127
WC;En service;136 voie georges pompidou;75001;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.345928474585103, 48.85742584289672], ""type"": ""Point""}";48.85742584289672, 2.345928474585103
Sanisette;En service;55 bd de sebastopol;75001;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3502059993590385, 48.8623170004171], ""type"": ""Point""}";48.8623170004171, 2.3502059993590385
Sanisette;En service;8 rue coquilliere;75001;24/24h;Oui;Non;;"{""coordinates"": [2.3434520003542536, 48.863346000033665], ""type"": ""Point""}";48.863346000033665, 2.3434520003542536
Sanisette;En service;50 rue de rivoli;75004;24/24h;Oui;Non;;"{""coordinates"": [2.354192000454317, 48.8567980002404], ""type"": ""Point""}";48.8567980002404, 2.354192000454317
Sanisette;En service;88t bd de port-royal;75005;24/24h;Oui;Non;;"{""coordinates"": [2.3387829995144718, 48.83920299969486], ""type"": ""Point""}";48.83920299969486, 2.3387829995144718
WC;En service;6v quai anatole france;75007;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3196494118205013, 48.86261171554387], ""type"": ""Point""}";48.86261171554387, 2.3196494118205013
Sanisette;En service;12 av de friedland;75008;24/24h;Oui;Non;;"{""coordinates"": [2.3032080001118813, 48.8747809999503], ""type"": ""Point""}";48.8747809999503, 2.3032080001118813
Sanisette;En service;57 bd de la villette;75010;24/24h;Oui;Non;;"{""coordinates"": [2.372206000330588, 48.876193000062784], ""type"": ""Point""}";48.876193000062784, 2.372206000330588
WC;En service;143 rue de la roquette;75011;Horaires du parc;Non;Oui;https://www.paris.fr/lieux/square-de-la-roquette-1767;"{""coordinates"": [2.384662194688091, 48.8599893100381], ""type"": ""Point""}";48.8599893100381, 2.384662194688091
WC;En service;2 carrefour de la pyramide;75012;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/parc-floral-de-paris-1;"{""coordinates"": [2.4407682089981737, 48.83992843351192], ""type"": ""Point""}";48.83992843351192, 2.4407682089981737
WC;En service;11 rue du colonel rozanoff;75012;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-saint-eloi-2597;"{""coordinates"": [2.3876622985220606, 48.844575826781394], ""type"": ""Point""}";48.844575826781394, 2.3876622985220606
Sanisette;En service;122 bd de l'hopital;75013;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3578050001911746, 48.83481400020258], ""type"": ""Point""}";48.83481400020258, 2.3578050001911746
Sanisette;En service;193 rue d'alesia;75014;24/24h;Oui;Non;;"{""coordinates"": [2.315755000561693, 48.83140699960149], ""type"": ""Point""}";48.83140699960149, 2.315755000561693
WC;En service;24 rue mouton-duvernet;75014;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-de-l-aspirant-dunand-2543;"{""coordinates"": [2.3268802422669674, 48.83229243203558], ""type"": ""Point""}";48.83229243203558, 2.3268802422669674
Sanisette;En service;16 av de la porte de vanves;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3041339997620978, 48.82552100015474], ""type"": ""Point""}";48.82552100015474, 2.3041339997620978
Sanisette;En service;39 rue du theatre;75015;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.2879300003682173, 48.849043999766934], ""type"": ""Point""}";48.849043999766934, 2.2879300003682173
Sanisette;En service;5 pl du commerce;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2921819997340007, 48.845387999807166], ""type"": ""Point""}";48.845387999807166, 2.2921819997340007
WC;En service;22 chaussee de la muette;75016;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-du-ranelagh-1778;"{""coordinates"": [2.2683134994523138, 48.858252239843125], ""type"": ""Point""}";48.858252239843125, 2.2683134994523138
WC;Hors service;41 rue mirabeau;75016;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-sainte-perine-1806;"{""coordinates"": [2.2686233189051084, 48.843881777990774], ""type"": ""Point""}";48.843881777990774, 2.2686233189051084
Sanisette;En service;90 bd de la chapelle;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3533559998478304, 48.884076000310905], ""type"": ""Point""}";48.884076000310905, 2.3533559998478304
Sanisette;En service;70 rue de la chapelle;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3595610006604915, 48.89525799997793], ""type"": ""Point""}";48.89525799997793, 2.3595610006604915
Sanisette;En service;43 bd barbes;75018;24/24h;Oui;Non;;"{""coordinates"": [2.3494229997704337, 48.888503000261], ""type"": ""Point""}";48.888503000261, 2.3494229997704337
WC;En service;7 rue botzaris;75019;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-des-buttes-chaumont-1757;"{""coordinates"": [2.380334555394377, 48.8801430164065], ""type"": ""Point""}";48.8801430164065, 2.380334555394377
Sanisette;En service;12 rue rebeval;75019;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3763659997192055, 48.87407599960259], ""type"": ""Point""}";48.87407599960259, 2.3763659997192055
Sanisette;En service;213 av jean jaures;75019;24/24h;Oui;Non;;"{""coordinates"": [2.3930770004901785, 48.888967999902704], ""type"": ""Point""}";48.888967999902704, 2.3930770004901785
Sanisette;En service;1v pl henri malberg;75020;00h00 - 01h00;Oui;Non;;"{""coordinates"": [2.3897390006371526, 48.87365699955662], ""type"": ""Point""}";48.87365699955662, 2.3897390006371526
WC;En service;148 rue de bagnolet;75020;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-de-l-hospice-debrousse-16194;"{""coordinates"": [2.406993131337986, 48.86235983215094], ""type"": ""Point""}";48.86235983215094, 2.406993131337986
Sanisette;En service;110 rue des orteaux;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4099690001674428, 48.855580999991574], ""type"": ""Point""}";48.855580999991574, 2.4099690001674428
Sanisette;En service;48 bd davout;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4113059997771447, 48.85142599970635], ""type"": ""Point""}";48.85142599970635, 2.4113059997771447
Sanisette;En service;83 rue montmartre;75002;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.34381000007998, 48.86744800005651], ""type"": ""Point""}";48.86744800005651, 2.34381000007998
Sanisette;En service;15 bd saint-denis;75002;24/24h;Oui;Non;;"{""coordinates"": [2.3535109996560086, 48.86941799975518], ""type"": ""Point""}";48.86941799975518, 2.3535109996560086
Sanisette;En service;158 x rue du temple;75003;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.360132999850921, 48.86498999997651], ""type"": ""Point""}";48.86498999997651, 2.360132999850921
Sanisette;En service;1 rue salomon de caus;75003;08h00 - 19h30;Oui;Non;;"{""coordinates"": [2.3539869993359095, 48.867368000158166], ""type"": ""Point""}";48.867368000158166, 2.3539869993359095
