GEO_ID|B01003_E001|B01003_M001
0500000US06075|830235|-555555555
0500000US36005|1404779|-555555555
0500000US36047|2631580|-555555555
0500000US36061|1629477|-555555555
0500000US36081|2323052|-555555555
0500000US36085|494956|-555555555
