_id,FLOC_ID,Building Description,Address,Ward Name,District,Building Type,Washroom Info,Gender Inclusive,Accessible Washroom,Hours Available,Location Details,Washroom Status,geometry
75,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Main Floor-South Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
76,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",3rd Floor-South Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
77,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",3rd Floor-South Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
78,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Lower Level-Centre Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
79,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Lower Level-Centre Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
80,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Main Floor-Centre Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
81,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Main Floor-Centre Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
82,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Lower Level-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
83,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Lower Level-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
84,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Main Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
85,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Main Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
86,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",3rd Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
87,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",3rd Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
88,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",4th Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
89,005581-B01,Etobicoke Civic Centre,399 The West Mall,Etobicoke Centre,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",4th Floor-North Block,Open - Public Access,"{""coordinates"": [[-79.56545263, 43.6437741]], ""type"": ""MultiPoint""}"
90,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Lower Level-Public Washroom,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
91,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Lower Level-Public Washroom,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
92,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Lower Level-Children's Services Client,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
93,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Main Floor-Behind Corporate Security Office,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
94,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Main Floor-Behind Courtroom W3,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
95,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",Main Floor-Behind Courtroom W3,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
96,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",2nd Floor-Near Elevator,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
97,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",2nd Floor-Near Elevator,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
98,003257-B02,York Civic Centre,2700 Eglinton Avenue West,York South-Weston,Etobicoke York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:00am-5:00pm, Sat-Sun Closed",2nd Floor-Near Elevator,Open - Public Access,"{""coordinates"": [[-79.47841192, 43.68988633]], ""type"": ""MultiPoint""}"
99,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Accessible Male Washroom,No,Yes,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Ground Floor-By the Committee Rooms,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
100,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Accessible Female Washroom,No,Yes,"Mon-Fri 8:00am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",Ground Floor-By the Committee Rooms,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
101,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Basement Level by TDSB Storage Room,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
102,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Basement Level by TDSB Storage Room,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
103,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Linkway ,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
104,003889-B03,Scraborough Civic Centre,150 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Linkway,Open - Public Access,"{""coordinates"": [[-79.25724136, 43.77281303]], ""type"": ""MultiPoint""}"
105,003889-B04,Scraborough Civic Centre,160 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Ground floor,Open - Public Access,"{""coordinates"": [[-79.25648054, 43.77305386]], ""type"": ""MultiPoint""}"
106,003889-B04,Scraborough Civic Centre,160 Borough Drive,Scarborough Centre ,Scarborough,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",Ground floor,Open - Public Access,"{""coordinates"": [[-79.25648054, 43.77305386]], ""type"": ""MultiPoint""}"
107,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",3rd Floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
108,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",3rd Floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
109,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",3rd Floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
110,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",2nd  floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
111,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",2nd  floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
112,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",2nd  floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
113,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",2nd  floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
114,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat 10:00am-6:00pm, Sun Closed",2nd  floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
115,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",1st floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
116,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",1st floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
117,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",1st floor-North side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
118,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",1st floor-South side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
119,001913-B02,East York Civic Centre,850 Coxwell Avenue,Toronto- Danforth,East York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-6:00pm, Sat-Sun Closed",1st floor-South side,Open - Public Access,"{""coordinates"": [[-79.32810335, 43.69095876]], ""type"": ""MultiPoint""}"
