park_name;type;location;geo_local_area;summer_hours;winter_hours;wheelchair_access;note;geom;geo_point_2d
;ComfortStation;Main St and E Hastings St;Downtown;8am (female) 6am (male) - Midnight;8am (female) 6am (male) - Midnight;No;;"{""coordinates"": [-123.09983455686556, 49.281101387409784], ""type"": ""Point""}";49.281101387409784, -123.09983455686556
;SmallAPT;W Hastings St and Carral St - Pigeon Park;Downtown;9am - 9pm;9am - 9pm;No;;"{""coordinates"": [-123.104586555944, 49.2816327884418], ""type"": ""Point""}";49.2816327884418, -123.104586555944
;SmallAPT;Nelson St and Howe St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.12350055300314, 49.27969079080763], ""type"": ""Point""}";49.27969079080763, -123.12350055300314
Adanac Park;Park - Field House;East side, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.02407196073857, 49.27588096678511], ""type"": ""Point""}";49.27588096678511, -123.02407196073857
Barclay Heritage Square;Community Center;Barclay Manor (WECC);West End;as per CC operating hours;as per CC operating hours;No;Maintained by Rec Center;"{""coordinates"": [-123.13256051081169, 49.28721486906602], ""type"": ""Point""}";49.28721486906602, -123.13256051081169
Beaconsfield Park;Park - Field House;East side, fieldhouse;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0499339599333, 49.25523298883689], ""type"": ""Point""}";49.25523298883689, -123.0499339599333
Bobolink Park;Park - Field House;North side, fieldhouse;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0564149547593, 49.2156069853625], ""type"": ""Point""}";49.2156069853625, -123.0564149547593
Braemar Park;Park - Field House;East edge, fieldhouse;South Cambie;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12448302133969, 49.247420993345145], ""type"": ""Point""}";49.247420993345145, -123.12448302133969
Burrard View Park;Park - Field House;Fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0496489708471, 49.29036396132682], ""type"": ""Point""}";49.29036396132682, -123.0496489708471
Clinton Park;Park - Field House;North east corner, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.04978202766654, 49.27114503208771], ""type"": ""Point""}";49.27114503208771, -123.04978202766654
Collingwood Park;Park - Field House;South corner, fieldhouse;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.03671596074693, 49.23652996299787], ""type"": ""Point""}";49.23652996299787, -123.03671596074693
David Lam Park;Park - Public Washroom;West side;Downtown;10:00 am - Dusk;10:00 am - Dusk;No;;"{""coordinates"": [-123.12541503573891, 49.272383006623514], ""type"": ""Point""}";49.272383006623514, -123.12541503573891
Elm Park;Park - Field House;Central, field house;Kerrisdale;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.16328394393362, 49.233431978269714], ""type"": ""Point""}";49.233431978269714, -123.16328394393362
English Bay Beach Park;Park - Field House;Bathhouse;West End;7:00 am - Dusk;10:00 am - Dusk;Yes;;"{""coordinates"": [-123.14280496653114, 49.28615403907862], ""type"": ""Point""}";49.28615403907862, -123.14280496653114
Falaise Park;Park - Field House;Community Hall;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.02940598630023, 49.25512303377224], ""type"": ""Point""}";49.25512303377224, -123.02940598630023
Fraserview Golf Course;Park - Public Washroom;Kerr Road @13th hole;Killarney;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.04229966821495, 49.21129535127276], ""type"": ""Point""}";49.21129535127276, -123.04229966821495
Grandview Park;Park - Public Washroom;North East Corner;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.06995444645655, 49.27376163002459], ""type"": ""Point""}";49.27376163002459, -123.06995444645655
Jones Park;Park - Field House;North west corner, fieldhouse;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.06832802681417, 49.23620495798543], ""type"": ""Point""}";49.23620495798543, -123.06832802681417
Oak Park;Park - Field House;East side field house;Marpole;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12764097866085, 49.216285994146425], ""type"": ""Point""}";49.216285994146425, -123.12764097866085
Oppenheimer Park;Park - Field House;North east corner;Strathcona;Tue - Sat 9:00 am - 8:00 pm;Tue - Sat 9:00 am - 5:00 pm;No;;"{""coordinates"": [-123.09382210202949, 49.282726316667315], ""type"": ""Point""}";49.282726316667315, -123.09382210202949
Prince Edward Park;Park - Field House;Sout east corner, fieldhouse;Riley Park;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.09705699407515, 49.2511909708645], ""type"": ""Point""}";49.2511909708645, -123.09705699407515
Strathcona Park;Park - Field House;South side, fieldhouse;Strathcona;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.08618899110523, 49.274557005731424], ""type"": ""Point""}";49.274557005731424, -123.08618899110523
Tatlow Park;Park - Field House;South, field house;Kitsilano;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.1695119500403, 49.269476011035984], ""type"": ""Point""}";49.269476011035984, -123.1695119500403
Trillium Park;Park - Field House;Fieldhouses North of Fields;Strathcona;Dawn to 10:15 pm;Dawn to 10:15 pm;Yes;;"{""coordinates"": [-123.09279211961659, 49.27490778897944], ""type"": ""Point""}";49.27490778897944, -123.09279211961659
Victoria Park;Park - Field House;West side;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.06741301627554, 49.27174404161037], ""type"": ""Point""}";49.27174404161037, -123.06741301627554
