name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Crane Cove Park,3854442721173284396,out_of_service,0,0,0,0,37.76302,-122.38734,701 Illinois St,San Francisco,CA,94107,,limited_access,,,Daily,,port,POINT (-122.38734 37.76302),10,Potrero Hill,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Tenderloin Pit Stop - Turk and Hyde streets,4596080096965280480,restroom,0,0,0,0,37.7825365,-122.4157402,Turk and Hyde streets,San Francisco,CA,,,publicly_accessible,08:00:00,20:00:00,Daily,,pit_stop,POINT (-122.4157402 37.7825365),5,Tenderloin,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Laurel Hill Clubhouse,5792798905216035670,restroom,0,0,0,0,37.783691040372204,-122.45113542886506,251 Euclid Ave,San Francisco,CA,94118,Laurel Hill Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451135429 37.78369104),2,Presidio Heights,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Grattan Playground - Drinking Fountain/Cooler,2151389010127542033,drinking_water,1,0,0,0,37.76262003,-122.45170249,1180 Stanyan St,San Francisco,CA,94117,Grattan Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451702487 37.762620031),8,Haight Ashbury,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Helen Wills Playground - Drinking Fountain/Cooler,8170287419589099041,drinking_water,1,0,0,0,37.7957183,-122.42048043,1401 Broadway,San Francisco,CA,94109,Helen Wills Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42048043 37.795718299),3,Russian Hill,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Washington Square Restrooms,6250308910410204931,restroom,0,0,0,0,37.80106429464524,-122.41063427620304,600 Columbus Ave,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410634276 37.801064295),3,North Beach,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
"Heron's Head Park, Eco Center",3013277213648008590,drinking_water,1,1,0,1,37.740119,-122.37597,32 Jennings Street,San Francisco,CA,94124,,publicly_accessible,,,Daily,Near entrance/on park path,port,POINT (-122.37597 37.740119),10,Bayview Hunters Point,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Ortega Branch Library,1845787657090241694,drinking_water,1,0,0,0,37.75122405800005,-122.49810319699998,3223 ORTEGA ST,San Francisco,CA,94122,West Sunset Playground,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:11:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.498103197 37.751224058),4,Sunset/Parkside,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
Alamo Square - Drinking Fountain/Cooler,1550815549017203860,drinking_water,1,1,0,0,37.77571849,-122.43461824,1081 Fulton St,San Francisco,CA,94117,Alamo Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434618243 37.775718492),5,Hayes Valley,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mountain Lake Park - Drinking Fountain/Cooler,8070193218352554407,drinking_water,1,0,0,1,37.78697197,-122.46779968999999,1 11th Ave,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.467799686 37.786971971),1,Inner Richmond,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Woh Hei Yuen Playground - Drinking Fountain/Cooler,2747594747649710730,drinking_water,1,0,0,0,37.7958357,-122.41043562,922 Jackson St,San Francisco,CA,94133,Woh Hei Yuen Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410435617 37.795835696),3,Chinatown,2026/03/20 09:12:27 PM,2026/09/01 09:08:33 AM
North Beach Branch Library,7646533082011852694,drinking_water,1,0,0,0,37.80253081500007,-122.41313485899997,850 COLUMBUS AVE,San Francisco,CA,94133,Joe DiMaggio Playground,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.413134859 37.802530815),3,North Beach,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
Rochambeau Clubhouse,3542277325770407957,restroom,0,0,0,0,37.785013759975925,-122.4845445201312,250 25th Ave,San Francisco,CA,94121,Rochambeau Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.48454452 37.78501376),1,Outer Richmond,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Golden Gate Valley Branch Library,6026358941900616187,drinking_water,1,0,0,0,37.796788830000025,-122.429023471,1801 GREEN ST,San Francisco,CA,94123,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:12:00-20:00"",""Thursday:12:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:49""]",library,POINT (-122.429023471 37.79678883),2,Marina,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
Crocker Amazon Playground - Drinking Fountain,3086264671836333061,drinking_water,1,0,0,0,37.71360481,-122.43296598,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.432965979 37.713604809),11,Excelsior,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mission Pit Stop - 24th and Mission streets (JCDecaux),1932757539855737355,restroom,0,0,0,0,37.7521752,-122.4185771,24th and Mission streets (JCDecaux),San Francisco,CA,,,publicly_accessible,09:00:00,17:00:00,Daily,,pit_stop,POINT (-122.4185771 37.7521752),9,Mission,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Junipero Serra Clubhouse,639104613465753824,restroom,0,0,0,0,37.72509669678674,-122.47409861765335,300 Stonecrest Dr,San Francisco,CA,94132,Junipero Serra Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.474098618 37.725096697),7,West of Twin Peaks,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Franklin Square - Drinking Fountain/Cooler,8671485529920848891,drinking_water,1,1,0,0,37.76480722,-122.40910427,2500 17th St,San Francisco,CA,94110,Franklin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409104268 37.764807222),9,Mission,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Richmond Rec Center,6492148637033534034,restroom,0,0,0,0,37.78340558211007,-122.47809344482842,251 18th Ave,San Francisco,CA,94121,Richmond Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478093445 37.783405582),1,Outer Richmond,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Blue Heron Lake Restrooms,7296636811837914405,restroom,0,0,0,0,37.770982185569466,-122.47687712086731,501 Stanyan St,San Francisco,CA,94118,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476877121 37.770982186),7,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Ball Diamond 1 Grandstand,4785327987590003465,restroom,0,0,0,0,37.714968283631876,-122.43189817149165,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.431898171 37.714968284),11,Excelsior,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 2 - Drinking fountain,5384155422795366050,drinking_water,1,1,0,0,37.77092973,-122.47696558,501 Stanyan St,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476965578 37.770929731),7,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Shipwright's Cottage,3641541153074967989,restroom,0,0,0,0,37.732225812853216,-122.37597409705918,900 Innes St,San Francisco,CA,94124,900 Innes,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.375974097 37.732225813),10,Bayview Hunters Point,2026/03/23 08:17:44 PM,2026/09/01 09:08:33 AM
Camp Mather - Upper Shang spigot,500404642223041528,drinking_water,1,0,0,0,37.8807994,-119.85081396000001,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.850813964 37.880799395),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Excelsior Playground - Drinking Fountain/Cooler,6582474018899329486,drinking_water,1,1,0,0,37.720084209999996,-122.43381224000001,579 Madrid St,San Francisco,CA,94112,Excelsior Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.433812241 37.72008421),11,Excelsior,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Merced Heights Playground - Drinking Fountain/Cooler,7979962871570197464,drinking_water,1,0,0,0,37.7174815,-122.47038418,801 Shields St,San Francisco,CA,94132,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.47038418 37.717481497),11,Oceanview/Merced/Ingleside,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Francisco Park - Francisco Path Drinking Fountain,2286609543054297947,drinking_water,1,0,0,0,37.803614810000006,-122.42127041,2745 Larkin St,San Francisco,CA,94109,Francisco Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421270411 37.803614807),2,Russian Hill,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Presidio Wall Clubhouse,1155075361421330535,restroom,0,0,0,0,37.79126968642988,-122.45371328469521,3550 Pacific Ave,San Francisco,CA,94118,Presidio Wall Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.453713285 37.791269686),2,Presidio,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Camp Mather - Campsite 2 spigot,2762361275681398201,drinking_water,1,0,0,0,37.87926793,-119.85175210999999,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.851752114 37.879267932),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mission Dolores Park - Drinking Fountain/Cooler,4746390374045801674,drinking_water,1,0,0,1,37.75945608,-122.42710371999999,646 Dolores St,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427103718 37.759456083),8,Castro/Upper Market,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
In Chan Kaajal Park - Drinking Fountain/Cooler,7043634281295152640,drinking_water,1,1,0,0,37.76379718,-122.41555593999999,2080 Folsom St,San Francisco,CA,94110,In Chan Kaajal Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415555942 37.76379718),9,Mission,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
China Basin Park Restroom,3688811934706178804,restroom,0,0,0,0,37.776348,-122.388505,1 China Basin Park,San Francisco,CA,94107,,publicly_accessible,,,Daily,In central plaza,port,POINT (-122.388505 37.776348),6,Mission Bay,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Camp Mather - Campsite 2 spigot,1610382892676334054,drinking_water,1,0,0,0,37.87926793,-119.85175210999999,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.851752114 37.879267932),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Camp Mather - Ball field bath house Drinking Fountain,1391828046050193443,drinking_water,1,0,0,0,37.88092731,-119.85141528999999,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.851415291 37.880927314),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Nursery Restrooms,4544891072889627791,restroom,0,0,0,0,37.76823046594387,-122.4621457200972,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.46214572 37.768230466),7,Golden Gate Park,2026/08/13 11:36:12 AM,2026/09/01 09:08:33 AM
J.P. Murphy Playground - Drinking Fountain/Cooler,8213439939840848809,drinking_water,1,0,0,0,37.75154545,-122.46518977000001,1960 9th Ave,San Francisco,CA,94116,J.P. Murphy Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465189774 37.75154545),7,Inner Sunset,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Portsmouth Square - Drinking Fountain/Cooler,3464166636387661832,drinking_water,1,0,0,0,37.794609220000005,-122.4055779,745 Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405577901 37.79460922),3,Chinatown,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Sunnyside Conservatory - Drinking Fountain/Cooler,2836009354287706880,drinking_water,1,0,0,0,37.73193828,-122.44074053000001,236 Monterey Blvd,San Francisco,CA,94131,Sunnyside Conservatory,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440740535 37.73193828),7,West of Twin Peaks,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Restrooms,1702410236468952087,restroom,0,0,0,0,37.736201216481554,-122.47822321781963,2899 19th Ave,San Francisco,CA,94132,Sigmund Stern Recreation Grove,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478223218 37.736201216),4,Sunset/Parkside,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Earl's Organic,8380650283006083838,drinking_water,0,1,1,0,37.744233,-122.398524,2102 Jerrold Ave,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.398524 37.744233),10,Bayview Hunters Point,2024/06/27 01:43:12 PM,2026/09/01 09:08:33 AM
Precita Park - Drinking Fountain/Cooler,8774322893145088992,drinking_water,1,0,0,0,37.74686045,-122.41325643,3200 Folsom St,San Francisco,CA,94110,Precita Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.413256427 37.746860454),9,Bernal Heights,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Eureka Valley/Harvey Milk Memorial Library,540584502372956109,drinking_water,1,0,0,0,37.76406037000004,-122.43188171699995,1 JOSE SARRIA CT,San Francisco,CA,94114,Eureka Valley Branch Library,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:53""]",library,POINT (-122.431881717 37.76406037),8,Castro/Upper Market,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
Restrooms,9096184556236417838,restroom,0,0,0,0,37.751489103787065,-122.43921686830987,780 Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439216868 37.751489104),8,Noe Valley,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Presidio Heights Clubhouse,4289748452748884379,restroom,0,0,0,0,37.788483204265475,-122.44983021215124,3437 Clay St,San Francisco,CA,94118,Presidio Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449830212 37.788483204),2,Presidio Heights,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Pier 14,760719995364998060,drinking_water,1,1,0,0,37.793789,-122.392106,Embarcadero and Broadway,San Francisco,CA,94105,,publicly_accessible,,,Daily,On sidewalk,port,POINT (-122.392106 37.793789),6,Financial District/South Beach,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Bowling Green Clubhouse,3966811820932894444,restroom,0,0,0,0,37.76854977011521,-122.45898100470102,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458981005 37.76854977),7,Golden Gate Park,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Portsmouth Square Clubhouse,5076840125778629956,restroom,0,0,0,0,37.79502058335507,-122.40533898324976,745 Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405338983 37.795020583),3,Chinatown,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
John McLaren Park - Jerry Garcia Parking Bottle filling station,5273186257224374769,drinking_water,1,1,0,0,37.72092385,-122.4169242,100 John F Shelley Dr,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416924201 37.720923853),9,McLaren Park,2026/03/13 05:15:49 PM,2026/09/01 09:08:33 AM
South Beach Harbor,5535662967239792186,drinking_water,1,1,0,1,37.7803467,-122.3877,Pier 40A The Embarcadero,San Francisco,CA,94107,,publicly_accessible,,,Daily,Outside of playground,port,POINT (-122.3877 37.7803467),6,Mission Bay,2024/10/04 01:51:23 PM,2026/09/01 09:08:33 AM
Restroom,1106131345370136236,restroom,0,0,0,0,37.743532412920004,-122.48092128071369,2354 24th Ave,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480921281 37.743532413),4,Sunset/Parkside,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Polo Field Restroom,4197991394385184674,restroom,0,0,0,0,37.76678658851261,-122.49279314677621,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.492793147 37.766786589),4,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Castro Pit Stop - Market and Castro streets (JCDecaux),3991774780780772696,restroom,0,0,0,0,37.7627732,-122.4348053,Market and Castro streets (JCDecaux),San Francisco,CA,,,publicly_accessible,08:00:00,20:00:00,Daily,,pit_stop,POINT (-122.4348053 37.7627732),8,Castro/Upper Market,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Camp Mather - Spigot,7932158756604777172,drinking_water,1,0,0,0,37.87979956,-119.8491949,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.849194896 37.879799561),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Joe DiMaggio Playground - DiMaggio Path Drinking Fountain,265036171906864033,drinking_water,1,0,0,0,37.80261305,-122.41204767,651 Lombard Street,San Francisco,CA,94133,Joe DiMaggio Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41204767 37.802613051),3,North Beach,2026/03/18 04:41:48 PM,2026/09/01 09:08:33 AM
Restrooms,4461746632244599738,restroom,0,0,0,0,37.78288414996867,-122.49085410441096,336 31st Ave,San Francisco,CA,94121,DuPont Tennis Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.490854104 37.78288415),1,Outer Richmond,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
SoMa Pit Stop - Victoria Manalo Draves Park (Rec Park),3769861877417491906,restroom,0,0,0,0,37.7767602,-122.4060242,Victoria Manalo Draves Park (Rec Park),San Francisco,CA,,Victoria Manalo Draves Park,limited_access,,,Close Time: 5pm,,pit_stop,POINT (-122.4060242 37.7767602),6,South of Market,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,9086298947575011978,drinking_water,1,1,0,0,37.76799815,-122.50821339000001,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.508213388 37.767998149),4,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Marina Green West Restroom,2186057952105917473,restroom,0,0,0,0,37.805673715617154,-122.44826247437689,1 Marina Green Dr,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448262474 37.805673716),2,Marina,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Tenderloin Pit Stop - 474 O'Farrell St.,3505190812937180651,restroom,0,0,0,0,37.7858991,-122.4119361,474 O'Farrell St.,San Francisco,CA,,,publicly_accessible,00:00:00,24:00:00,Daily,,pit_stop,POINT (-122.4119361 37.7858991),5,Tenderloin,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Sunset Dunes Highway Judah Restrooms,6439327551067413093,restroom,0,0,0,0,37.76024531678715,-122.50956648559195,,San Francisco,CA,94132,Sunset Dunes,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.509566486 37.760245317),4,Sunset/Parkside,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Bandstand Public Restrooms,6733522781301890668,restroom,0,0,0,0,37.76980763655871,-122.46865065721894,,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468650657 37.769807637),7,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Bocce Ball Courts,1839771427095320611,restroom,0,0,0,0,37.71489681111079,-122.43204290095117,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.432042901 37.714896811),11,Excelsior,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Japanese Tea Garden Female Restroom,1976174855844772049,restroom,0,0,0,0,37.770514687160386,-122.46947014277386,501 Stanyan St,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.469470143 37.770514687),7,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Mission Dolores South Restrooms,6914552669529225689,restroom,0,0,0,0,37.75856338121321,-122.4264190053285,646 Dolores St,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.426419005 37.758563381),8,Castro/Upper Market,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
24th & Mission,2599759550272697651,drinking_water,0,1,1,0,37.752333,-122.418141,3278 24th Street,San Francisco,CA,94110,,publicly_accessible,,,Daily,,puc,POINT (-122.418141 37.752333),9,Mission,2024/06/27 01:43:12 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 7 - Drinking Fountain,8447563582125180159,drinking_water,1,0,0,0,37.77239053,-122.46012938,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.460129382 37.77239053),1,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 1 - Kezar Turf Drinking fountain,9171619548794917687,drinking_water,1,0,0,0,37.76750663,-122.45566955000001,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455669553 37.76750663),5,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Silver Terrace Playground - Bottle filler,3949186364716070766,drinking_water,1,1,0,0,37.73258266,-122.40301406,1700 Silver Ave,San Francisco,CA,94124,Silver Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.40301406 37.73258266),10,Bayview Hunters Point,2026/03/13 04:27:00 PM,2026/09/01 09:08:33 AM
Lake Merced Park - Drinking fountain,803130842310487637,drinking_water,1,1,0,0,37.728901840000006,-122.49374164000001,1 Harding Rd,San Francisco,CA,94132,Lake Merced Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.493741638 37.728901838),7,Lakeshore,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Jerry Garcia Amphitheatre Restroom,4378564667613058963,restroom,0,0,0,0,37.72239110635506,-122.41438777801322,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.414387778 37.722391106),9,McLaren Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Betty Ann Ong Rec Center - Drinking Fountain/Cooler,6118301119217379991,drinking_water,1,0,0,0,37.79437397,-122.41185104,1101 Washington St,San Francisco,CA,94108,Betty Ann Ong Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411851042 37.794373974),3,Nob Hill,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Gilman Clubhouse,5040493411167008693,restroom,0,0,0,0,37.7168011155537,-122.38835498218572,993 Gilman Ave,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.388354982 37.716801116),10,Bayview Hunters Point,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Beach Chalet,755820951004372731,restroom,0,0,0,0,37.76959005999781,-122.51011434913542,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.510114349 37.76959006),4,Golden Gate Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Palega Rec Center,1380573470462414493,restroom,0,0,0,0,37.72920706615763,-122.40974183678372,500 Felton St,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409741837 37.729207066),9,Portola,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Hamilton Rec Center,8369580577400438332,restroom,0,0,0,0,37.78453265193915,-122.43517780715341,1900 Geary Blvd,San Francisco,CA,94115,Hamilton Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435177807 37.784532652),5,Japantown,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Kid Power Park - Drinking Fountain/Cooler,7551241608202316725,drinking_water,1,0,0,0,37.76416762,-122.42024527,45 Hoff Street,San Francisco,CA,94110,Kid Power Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.42024527 37.764167623),9,Mission,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Noe Valley Courts - Drinking Fountain/Cooler,5084486748489973761,drinking_water,1,0,0,1,37.75145352,-122.43894560000001,780 Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438945602 37.751453516),8,Noe Valley,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 1 - Drinking Fountain/Cooler,1302941419730252572,drinking_water,1,0,0,0,37.77273831,-122.45794472,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457944722 37.77273831),1,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,4546522901295445104,drinking_water,1,0,0,0,37.767927639999996,-122.50184764000001,501 Stanyan St,San Francisco,CA,94121,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.501847641 37.767927644),1,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
