name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Minnie and Lovie Ward Rec Center - Minnie and Lovie Path,6762195843682271149,drinking_water,1,0,0,0,37.71503456000001,-122.45754731999999,650 Capitol Ave,San Francisco,CA,94112,Minnie and Lovie Ward Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457547318 37.715034559),11,Oceanview/Merced/Ingleside,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Raymond Kimball Playground - Kimball Path Drinking Fountain,8161736808373498780,drinking_water,1,0,0,0,37.783709050000006,-122.4354035,1901 Geary Blvd,San Francisco,CA,94115,Raymond Kimbell Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435403504 37.783709051),5,Western Addition,2026/03/17 10:09:18 PM,2026/09/01 09:08:33 AM
Duboce Park - Drinking Fountain/Cooler,1776215359271845628,drinking_water,1,1,0,0,37.76941332,-122.43349091,50 Scott St,San Francisco,CA,94117,Duboce Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433490914 37.76941332),8,Haight Ashbury,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
St. Mary's Rec Center - Drinking Fountain/Cooler,3521309175685199899,drinking_water,1,0,0,0,37.73294746,-122.42105235000001,95 Justin Dr,San Francisco,CA,94110,St. Mary's Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421052346 37.732947457),9,Bernal Heights,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 5 - GGP 5 Dog Play Area Drinking Fountain,4727257813781792317,drinking_water,1,0,0,0,37.770745489999996,-122.49897683,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.49897683 37.770745487),1,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
McLaren Bike Restroom,1992537512030673501,restroom,0,0,0,0,37.714134642807224,-122.42329113242955,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.423291132 37.714134643),10,McLaren Park,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Minnie and Lovie Ward Rec Center - Drinking Fountain/Cooler,5926078627690235727,drinking_water,1,1,0,0,37.71509082,-122.45890729,650 Capitol Ave,San Francisco,CA,94112,Minnie and Lovie Ward Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458907285 37.715090819),11,Oceanview/Merced/Ingleside,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Douglass Playground - Drinking Fountain/Cooler,6818625136334823784,drinking_water,1,0,0,0,37.747917900000004,-122.43840181,1098 Douglass St,San Francisco,CA,94131,Douglass Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.438401806 37.747917903),8,Noe Valley,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Excelsior Branch Library,1134166097749066913,drinking_water,1,0,0,0,37.72713052100005,-122.43331540999998,4400 MISSION ST,San Francisco,CA,94112,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.43331541 37.727130521),11,Outer Mission,2026/05/27 04:20:00 PM,2026/09/01 09:08:33 AM
John McLaren Park - Drinking Fountain/Cooler,2897056291416051032,drinking_water,1,0,0,0,37.72325489,-122.42086562,100 John F Shelley Dr,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420865617 37.723254888),11,McLaren Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
