"month","station_complex_id","station_complex","borough","ridership","transfers","latitude","longitude","georeference.type","georeference.coordinates"
"2026-07-01T00:00:00.000","147","175 St (A)","Manhattan","199351.0","4303.0","40.84739","-73.939705","Point","c(-73.939705, 40.84739)"
"2026-07-01T00:00:00.000","149","163 St-Amsterdam Av (C)","Manhattan","78824.0","795.0","40.836014","-73.939896","Point","c(-73.939896, 40.836014)"
"2026-07-01T00:00:00.000","150","155 St (C)","Manhattan","50244.0","1861.0","40.830517","-73.94151","Point","c(-73.94151, 40.830517)"
"2026-07-01T00:00:00.000","151","145 St (A,C,B,D)","Manhattan","425127.0","9761.0","40.824783","-73.944214","Point","c(-73.944214, 40.824783)"
"2026-07-01T00:00:00.000","152","135 St (C,B)","Manhattan","98991.0","2330.0","40.817894","-73.94765","Point","c(-73.94765, 40.817894)"
"2026-07-01T00:00:00.000","153","125 St (A,C,B,D)","Manhattan","546813.0","38196.0","40.811108","-73.95235","Point","c(-73.95235, 40.811108)"
"2026-07-01T00:00:00.000","154","116 St (C,B)","Manhattan","121529.0","6192.0","40.805084","-73.95488","Point","c(-73.95488, 40.805084)"
"2026-07-01T00:00:00.000","155","Cathedral Pkwy (110 St) (C,B)","Manhattan","152482.0","4280.0","40.800602","-73.95816","Point","c(-73.95816, 40.800602)"
"2026-07-01T00:00:00.000","156","103 St (C,B)","Manhattan","96191.0","539.0","40.796093","-73.96146","Point","c(-73.96146, 40.796093)"
"2026-07-01T00:00:00.000","157","96 St (C,B)","Manhattan","189839.0","30237.0","40.79164","-73.9647","Point","c(-73.9647, 40.79164)"
"2026-07-01T00:00:00.000","158","86 St (C,B)","Manhattan","211526.0","19558.0","40.78587","-73.96892","Point","c(-73.96892, 40.78587)"
"2026-07-01T00:00:00.000","159","81 St-Museum of Natural History (C,B)","Manhattan","307777.0","17552.0","40.781433","-73.972145","Point","c(-73.972145, 40.781433)"
"2026-07-01T00:00:00.000","16","8 St-NYU (R,W)","Manhattan","339830.0","2497.0","40.730328","-73.99263","Point","c(-73.99263, 40.730328)"
"2026-07-01T00:00:00.000","160","72 St (C,B)","Manhattan","236471.0","6719.0","40.775593","-73.97641","Point","c(-73.97641, 40.775593)"
"2026-07-01T00:00:00.000","162","50 St (C,E)","Manhattan","524443.0","4090.0","40.762455","-73.985985","Point","c(-73.985985, 40.762455)"
"2026-07-01T00:00:00.000","164","34 St-Penn Station (A,C,E)","Manhattan","1915345.0","15627.0","40.75229","-73.99339","Point","c(-73.99339, 40.75229)"
"2026-07-01T00:00:00.000","165","23 St (C,E)","Manhattan","447559.0","13437.0","40.745907","-73.99804","Point","c(-73.99804, 40.745907)"
"2026-07-01T00:00:00.000","167","W 4 St-Wash Sq (A,C,E,B,D,F,M)","Manhattan","1074787.0","6847.0","40.732338","-74.000496","Point","c(-74.000496, 40.732338)"
"2026-07-01T00:00:00.000","168","Spring St (C,E)","Manhattan","354687.0","711.0","40.726227","-74.00374","Point","c(-74.00374, 40.726227)"
"2026-07-01T00:00:00.000","169","Canal St (A,C,E)","Manhattan","400084.0","1027.0","40.720825","-74.005226","Point","c(-74.005226, 40.720825)"
"2026-07-01T00:00:00.000","17","Prince St (R,W)","Manhattan","352024.0","835.0","40.72433","-73.9977","Point","c(-73.9977, 40.72433)"
