"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"BK1203","Kensington",10,"Brooklyn",1,38903,13951,5224,4124,5641,38336,38659,91351,10,0.147146285475793,0.134282703133434,0.106676323753848
"BK1204","Mapleton-Midwood (West)",16,"Brooklyn",1,37519,11256,5778,3554,7620,37400,37519,73999,16,0.203743315508021,0.154001972334017,0.0947253391614915
"BK1301","Gravesend (South)",7,"Brooklyn",1,28604,10783,6627,5155,5853,28293,28326,60400,7,0.206870957480649,0.231680883792477,0.181988279319353
"BK1302","Coney Island-Sea Gate",12,"Brooklyn",1,54465,22185,15214,11068,13462,53296,53536,45416,12,0.252589312518763,0.279335352978977,0.206739390316796
"BK1303","Brighton Beach",8,"Brooklyn",1,28327,13743,7834,5656,6974,28053,28066,47868,8,0.248600862652836,0.27655593603276,0.201524976840305
"BK1391","Calvert Vaux Park",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK1401","Flatbush",18,"Brooklyn",1,65759,25275,8230,6538,10085,65335,65624,82678,18,0.154358307186041,0.125153971319515,0.0996281848104352
"BK1402","Flatbush (West)-Ditmas Park-Parkville",11,"Brooklyn",1,39803,15820,6713,3851,7102,39627,39635,96678,11,0.179221238044767,0.16865562897269,0.0971615995963164
"BK1403","Midwood",16,"Brooklyn",1,49291,18462,10023,6970,8126,48857,49096,73279,16,0.1663221237489,0.203343409547382,0.14196675900277
"BK1501","Gravesend (East)-Homecrest",18,"Brooklyn",1,50032,17602,8330,5114,9665,49727,50030,71697,18,0.194361212218714,0.166493444195715,0.102218668798721
"BK1502","Madison",15,"Brooklyn",1,38197,14724,8635,4153,6362,38007,38077,73484,15,0.167390217591496,0.22606487420478,0.10906846652835
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach",20,"Brooklyn",1,64244,26383,15522,9008,9465,63484,63489,75858,20,0.149092684770966,0.241610111450097,0.141882845847312
"BK1601","Ocean Hill",10,"Brooklyn",1,39942,15700,5645,5824,9551,39837,39918,62458,10,0.239751989356628,0.141329928396174,0.145899093140939
"BK1602","Brownsville",14,"Brooklyn",1,59014,21897,7866,11179,22010,58728,58919,38936,13,0.374778640512192,0.133290405666452,0.189735059997624
"BK1701","East Flatbush-Erasmus",11,"Brooklyn",1,42375,17556,6583,4655,7076,41780,41984,73723,11,0.169363331737674,0.155351032448378,0.110875571646341
"BK1702","East Flatbush-Farragut",14,"Brooklyn",1,34025,12398,7520,4515,4402,33869,34005,84808,13,0.129971360240928,0.221013960323292,0.132774591971769
"BK1703","East Flatbush-Rugby",16,"Brooklyn",1,36352,14124,7385,4175,6138,35699,35883,71290,16,0.171937589288215,0.203152508802817,0.116350360895131
"BK1704","East Flatbush-Remsen Village",9,"Brooklyn",1,38240,14510,6891,5121,8335,37475,37685,62550,8,0.22241494329553,0.180203974895397,0.135889611251161
"BK1771","Holy Cross Cemetery",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK1801","Flatlands",27,"Brooklyn",1,61589,21884,12618,7759,7118,61357,61505,87957,26,0.116009583258634,0.204874247024631,0.126152345337777
"BK1802","Marine Park-Mill Basin-Bergen Beach",19,"Brooklyn",1,42837,15127,9681,5058,2949,42758,42735,114035,19,0.0689695495579775,0.225996218222565,0.118357318357318
"BK1803","Canarsie",34,"Brooklyn",1,76746,26760,15681,8662,10322,75852,76052,83139,33,0.136080788904709,0.204323352357126,0.113895755535686
"BK1891","Marine Park-Plumb Island",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK1892","McGuire Fields",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK1893","Canarsie Park & Pier",2,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK5591","Prospect Park",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK5691","Barren Island-Floyd Bennett Field",1,"Brooklyn",1,14,9,0,0,0,14,14,NA,NA,0,0,0
"BK5692","Jamaica Bay (West)",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BK5693","Shirley Chisholm State Park",1,"Brooklyn",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX0101","Mott Haven-Port Morris",15,"Bronx",1,56600,22081,7214,13140,23756,56451,56532,29645,14,0.420825140387239,0.127455830388693,0.232434727234133
"BX0102","Melrose",8,"Bronx",1,41043,15978,5240,8885,17401,40900,41024,31028,8,0.425452322738386,0.127670979216919,0.216580538221529
"BX0201","Hunts Point",6,"Bronx",1,14219,5245,2046,3462,3950,13816,13942,40045,4,0.285900405327157,0.143891975525705,0.248314445560178
"BX0202","Longwood",9,"Bronx",1,40143,14677,4954,10335,13311,39663,39958,37218,9,0.335602450646698,0.123408813491767,0.258646578907853
"BX0291","North & South Brother Islands",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX0301","Morrisania",7,"Bronx",1,37248,14072,2977,8276,14552,36940,37031,33969,7,0.393936112615051,0.0799237542955326,0.223488428613864
"BX0302","Claremont Village-Claremont (East)",6,"Bronx",1,24213,8503,2983,4635,11380,23889,23993,33253,6,0.476369877349408,0.123198281914674,0.19318134455883
"BX0303","Crotona Park East",7,"Bronx",1,29480,11668,3773,7033,9099,29461,29480,38302,7,0.308848986796103,0.127985074626866,0.238568521031208
"BX0391","Crotona Park",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX0401","Concourse-Concourse Village",14,"Bronx",1,67780,27203,9451,13517,22119,66220,67110,44135,14,0.334022953790396,0.139436411920921,0.201415586350767
"BX0402","Highbridge",5,"Bronx",1,30812,12162,3370,5182,8830,30207,30729,44594,5,0.292316350514781,0.109372971569518,0.168635490904357
"BX0403","Mount Eden-Claremont (West)",12,"Bronx",1,48394,17422,5965,9647,14759,48222,48394,43308,12,0.306063622413006,0.123259081704344,0.199342893747159
"BX0491","Yankee Stadium-Macombs Dam Park",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX0492","Claremont Park",1,"Bronx",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"BX0501","University Heights (South)-Morris Heights",13,"Bronx",1,53624,19333,5709,11951,20618,53392,53613,34394,12,0.386162721006892,0.106463523795316,0.222912353347136
"BX0502","Mount Hope",10,"Bronx",1,47120,17264,4714,9477,14762,46002,46951,40825,9,0.320899091343855,0.100042444821732,0.201848735916168
"BX0503","Fordham Heights",7,"Bronx",1,30863,10692,2315,4572,10638,30770,30863,38801,7,0.345726356841079,0.0750089103457214,0.148138547775654
"BX0601","West Farms",5,"Bronx",1,18442,7156,2467,3851,7913,18255,18422,31965,5,0.433470282114489,0.133770740700575,0.209043534903919
"BX0602","Tremont",9,"Bronx",1,32428,12135,4061,8822,10213,32085,32187,36794,9,0.318310737104566,0.125231281608486,0.274085811041725
"BX0603","Belmont",7,"Bronx",1,35608,12802,4037,6061,13372,32050,35608,32264,7,0.417223088923557,0.113373399236127,0.170214558526174
"BX0701","University Heights (North)-Fordham",9,"Bronx",1,42305,16160,5846,6976,11095,41260,41377,44865,9,0.268904507998061,0.138186975534807,0.168596079947797
"BX0702","Bedford Park",11,"Bronx",1,49148,20487,6441,6964,13974,49000,49061,46725,11,0.285183673469388,0.131053145601042,0.141945741016286
"BX0703","Norwood",8,"Bronx",1,39556,15109,4033,5578,10863,38914,39028,51548,8,0.279154031967929,0.10195671958742,0.14292302961976
