"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"QN0574","Highland Park-Cypress Hills Cemeteries (North)",1,"Queens",1,12,4,0,0,0,12,12,NA,NA,0,0,0
"QN0601","Rego Park",8,"Queens",1,29744,12637,6580,3600,3384,29612,29733,84920,8,0.114277995407267,0.221221086605702,0.121077590555948
"QN0602","Forest Hills",24,"Queens",1,93621,40992,19661,10452,9048,93137,93205,107850,24,0.0971472132450047,0.210006302004892,0.112139906657368
"QN0701","College Point",7,"Queens",1,30120,9642,6540,2703,3237,29574,29607,91833,7,0.109454250355042,0.217131474103586,0.0912959773026649
"QN0702","Whitestone-Beechhurst",7,"Queens",1,29547,11007,7382,2944,2065,29348,29382,103344,7,0.0703625459997274,0.249839239178258,0.100197399768566
"QN0703","Bay Terrace-Clearview",5,"Queens",1,23195,10403,7029,3650,2349,23154,23175,103249,5,0.101451153148484,0.30303944815693,0.157497303128371
"QN0704","Murray Hill-Broadway Flushing",15,"Queens",1,53912,19740,11930,4647,10319,53047,53110,72788,15,0.19452560936528,0.221286541029826,0.087497646394276
"QN0705","East Flushing",14,"Queens",1,30771,11132,8075,3854,5085,30664,30751,61333,13,0.16582963735977,0.262422410711384,0.125329257585119
"QN0706","Queensboro Hill",5,"Queens",1,20405,6216,3695,1944,3459,20391,20402,71064,5,0.169633661909666,0.181083067875521,0.0952847760023527
"QN0707","Flushing-Willets Point",14,"Queens",1,61079,26505,14708,7975,13143,60291,60305,55738,13,0.217992735234115,0.240802894611896,0.1322444241771
"QN0761","Fort Totten",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0791","Kissena Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0801","Kew Gardens Hills",8,"Queens",1,35598,12834,6468,3820,3735,34340,35585,85291,8,0.108765288293535,0.181695600876454,0.107348601939019
"QN0802","Pomonok-Electchester-Hillcrest",8,"Queens",1,34432,12434,6503,4674,4360,32059,34308,78614,8,0.135999251380268,0.18886500929368,0.136236446309899
"QN0803","Fresh Meadows-Utopia",6,"Queens",1,20679,7952,4152,1554,1800,20677,20679,97257,6,0.0870532475697635,0.200783403452778,0.0751487015813144
"QN0804","Jamaica Estates-Holliswood",8,"Queens",1,23270,8841,5160,2111,2692,22630,22961,87536,8,0.11895713654441,0.221744735711216,0.0919385044205392
"QN0805","Jamaica Hills-Briarwood",10,"Queens",1,37121,14186,7028,4236,5130,36526,36534,92556,10,0.140447900125938,0.189326796153121,0.115946789292166
"QN0871","Mount Hebron & Cedar Grove Cemeteries",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0891","Cunningham Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN0901","Kew Gardens",9,"Queens",1,24548,10568,4567,2791,2301,24339,24483,89550,8,0.0945396277579194,0.18604366954538,0.113997467630601
"QN0902","Richmond Hill",13,"Queens",1,32785,10389,5217,3651,3278,32223,32396,88385,13,0.101728578965335,0.159127649839866,0.112699098654155
"QN0903","South Richmond Hill",9,"Queens",1,23493,6508,3467,2550,2797,23348,23462,85086,8,0.119796128148021,0.147575873664496,0.108686386497315
"QN0904","Ozone Park (North)",10,"Queens",1,25562,7417,3540,2619,4823,25327,25539,80586,10,0.190429186243929,0.138486816368046,0.102549042640667
"QN0905","Woodhaven",13,"Queens",1,39914,11883,5824,3974,4248,39836,39904,93448,13,0.106637212571543,0.145913714486145,0.0995890136327185
"QN1001","South Ozone Park",25,"Queens",1,80840,22848,14458,8360,9641,80219,80818,100469,25,0.120183497675114,0.17884710539337,0.103442302457373
"QN1002","Ozone Park",7,"Queens",1,23862,7518,3791,3080,2430,23561,23862,86696,6,0.103136539196129,0.158871846450423,0.129075517559299
"QN1003","Howard Beach-Lindenwood",4,"Queens",1,31308,11346,7530,6066,2165,31308,31293,100809,4,0.0691516545291938,0.24051360674588,0.19384526890998
"QN1091","Spring Creek Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN1101","Auburndale",13,"Queens",1,34216,12682,7552,3396,3365,33581,33953,94848,13,0.100205473333135,0.220715454758008,0.100020616734898
"QN1102","Bayside",13,"Queens",1,35395,12688,7175,3449,3937,35278,35296,108454,13,0.111599297012302,0.202712247492584,0.0977164551223935
"QN1103","Douglaston-Little Neck",6,"Queens",1,25623,10088,6890,3204,1498,25536,25536,122147,6,0.0586622807017544,0.268899036022324,0.12546992481203
"QN1104","Oakland Gardens-Hollis Hills",5,"Queens",1,24840,9834,5922,2323,1851,24840,24840,102446,5,0.0745169082125604,0.238405797101449,0.0935185185185185
"QN1191","Alley Pond Park",1,"Queens",1,92,0,33,30,30,71,89,NA,NA,0.422535211267606,0.358695652173913,0.337078651685393
"QN1201","Jamaica",15,"Queens",1,56742,18224,8438,6584,10259,55997,56489,61143,14,0.1832062431916,0.148708187938388,0.116553665315371
"QN1202","South Jamaica",14,"Queens",1,42675,12660,5456,3846,5874,42469,42628,74002,13,0.138312651581153,0.127850029291154,0.0902223890400676
"QN1203","Baisley Park",20,"Queens",1,43885,13205,6302,4793,5385,43598,43845,85631,19,0.123514840130281,0.14360259769853,0.109316911848557
"QN1204","Springfield Gardens (North)-Rochdale Village",6,"Queens",1,33511,12948,5597,4502,4615,33348,33486,77057,6,0.138389108792131,0.167019784548357,0.134444245356268
"QN1205","St. Albans",23,"Queens",1,54727,16417,8915,6023,5140,54190,54412,101281,22,0.094851448606754,0.162899482887788,0.110692494302727
"QN1206","Hollis",10,"Queens",1,22264,6848,4028,2671,2641,21629,21913,85188,10,0.122104581811457,0.180919870643191,0.121891114863323
"QN1301","Glen Oaks-Floral Park-New Hyde Park",6,"Queens",1,22157,8972,8043,3629,1838,21506,21591,110908,6,0.0854645215288757,0.363000406192174,0.168079292297717
"QN1302","Bellerose",6,"Queens",1,26891,8726,6780,3860,1903,26418,26467,104693,6,0.0720342190930426,0.252128965081254,0.14584199191446
"QN1303","Queens Village",20,"Queens",1,55339,16816,11819,6869,5257,55046,55158,104046,19,0.0955019438287977,0.213574513453442,0.124533159287864
"QN1304","Cambria Heights",13,"Queens",1,19981,6567,4803,2716,1498,19775,19971,112672,13,0.0757522123893805,0.240378359441469,0.135997195934104
"QN1305","Laurelton",11,"Queens",1,27708,8789,5104,2745,1536,27510,27588,114800,11,0.0558342420937841,0.184206727298975,0.0994997825141366
"QN1306","Springfield Gardens (South)-Brookville",7,"Queens",1,24458,6819,3113,1919,2475,23947,24347,115929,5,0.10335323840147,0.127279417777414,0.0788187456360127
"QN1307","Rosedale",8,"Queens",1,28309,8410,4797,3027,2929,28195,28309,120880,8,0.1038836673169,0.169451411211982,0.106927125649087
"QN1371","Montefiore Cemetery",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN1401","Far Rockaway-Bayswater",11,"Queens",1,62827,20742,10883,9446,12952,60855,61157,63990,11,0.212833785227179,0.173221704044439,0.154454927481727
"QN1402","Rockaway Beach-Arverne-Edgemere",9,"Queens",1,42621,15989,6892,6494,10874,41401,41396,58538,9,0.262650660612062,0.161704324159452,0.156875060392308
"QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",7,"Queens",1,25783,9963,5980,3308,2014,25198,25296,120977,7,0.0799269783316136,0.231935771632471,0.130771663504111
"QN1491","Rockaway Community Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8081","LaGuardia Airport",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8191","Flushing Meadows-Corona Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8291","Forest Park",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8381","John F. Kennedy International Airport",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8491","Jamaica Bay (East)",1,"Queens",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"QN8492","Jacob Riis Park-Fort Tilden-Breezy Point Tip",3,"Queens",1,24,9,8,8,0,24,24,NA,NA,0,0.333333333333333,0.333333333333333
"SI0101","St. George-New Brighton",6,"Staten Island",1,21009,7342,3172,2742,5854,20643,20641,70476,6,0.283582812575692,0.150982912085297,0.132842401046461
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills",5,"Staten Island",1,18170,6083,2518,2084,4756,17467,17497,51778,5,0.272284880059541,0.138580077050083,0.119106132479854
"SI0103","Rosebank-Shore Acres-Park Hill",7,"Staten Island",1,23027,8820,3671,2672,3736,22994,22972,70751,7,0.162477167956858,0.159421548616841,0.116315514539439
"SI0104","West New Brighton-Silver Lake-Grymes Hill",12,"Staten Island",1,35957,12905,5371,3943,3499,34929,35506,107570,11,0.100174639983967,0.149372862029647,0.111051653241706
"SI0105","Westerleigh-Castleton Corners",8,"Staten Island",1,31542,10804,5470,3079,2321,31410,31542,119026,8,0.073893664438077,0.173419567560713,0.097615877243041
"SI0106","Port Richmond",6,"Staten Island",1,20577,6431,2322,2312,4048,20552,20553,81299,6,0.196963799143636,0.112844437964718,0.112489660876758
"SI0107","Mariner's Harbor-Arlington-Graniteville",8,"Staten Island",1,32272,10865,4756,3992,5091,32209,32255,85529,8,0.15806141140675,0.147372335151215,0.123763757556968
"SI0191","Snug Harbor",1,"Staten Island",1,40,21,17,0,0,40,40,NA,NA,0,0.425,0
"SI0201","Grasmere-Arrochar-South Beach-Dongan Hills",9,"Staten Island",1,35372,13038,7010,4359,3833,34708,34922,80169,9,0.110435634435865,0.198179350899016,0.124821029723384
"SI0202","New Dorp-Midland Beach",6,"Staten Island",1,29103,9591,4773,3102,2631,29028,29103,96225,6,0.0906366267052501,0.164003710957633,0.10658694979899
"SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights",9,"Staten Island",1,33910,10543,7771,3822,3733,32726,32731,111523,9,0.114068324879301,0.229165437923916,0.116770034523846
"SI0204","New Springville-Willowbrook-Bulls Head-Travis",9,"Staten Island",1,42601,14974,8113,4654,5413,42294,42568,96241,9,0.127985056982078,0.190441538931011,0.109330952828416
"SI0291","Freshkills Park (North)",1,"Staten Island",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"SI0301","Oakwood-Richmondtown",5,"Staten Island",1,21154,7934,4630,2501,1912,21088,21149,111581,5,0.0906676783004552,0.218871135482651,0.118256182325405
"SI0302","Great Kills-Eltingville",11,"Staten Island",1,58253,19882,10435,5844,4200,58212,58253,118504,11,0.0721500721500721,0.179132405198016,0.100321013510034
"SI0303","Arden Heights-Rossville",7,"Staten Island",1,31824,10776,5418,3429,1718,31822,31806,111900,7,0.0539878071774244,0.170248868778281,0.107809847198642
"SI0304","Annadale-Huguenot-Prince's Bay-Woodrow",7,"Staten Island",1,42159,14447,7253,4329,2169,41956,42150,112231,7,0.0516970159214415,0.172039184990156,0.10270462633452
"SI0305","Tottenville-Charleston",4,"Staten Island",1,17425,6138,2546,1682,1334,17392,17425,146847,3,0.0767019319227231,0.146111908177905,0.0965279770444763
"SI0391","Freshkills Park (South)",1,"Staten Island",1,37,10,0,5,0,37,37,NA,NA,0,0,0.135135135135135
"SI9561","Fort Wadsworth",1,"Staten Island",1,449,146,9,7,27,427,346,67273,1,0.063231850117096,0.0200445434298441,0.0202312138728324
"SI9591","Hoffman & Swinburne Islands",1,"Staten Island",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"SI9592","Miller Field",1,"Staten Island",1,75,27,0,43,11,75,75,NA,NA,0.146666666666667,0,0.573333333333333
"SI9593","Great Kills Park",1,"Staten Island",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
