"alteration_year","bbl","bin","borough","public_restroom","construction_year","description","doitt_id","doitt_source","gispropnum","ground_elevation","height_roof","location","omppropid","parks_district","system","recreation_center","featurestatus","demolition_year","maintby","maintbyspec","multipolygon.type","multipolygon.coordinates"
"2011","4020180001","4595626","Q",FALSE,"2019","FMCP-USTA Complex-COURT 17","1290068","current","Q099","12","38",,"Q099","Q-15","Q099-BLG7356",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8443,40.7489],[-73.8443,40.749],[-73.8443,40.749],[-73.8443,40.749],[-73.8443,40.749],[-73.8443,40.749],[-73.8442,40.7491],[-73.8442,40.7491],[-73.8442,40.7491],[-73.8442,40.7491],[-73.8442,40.7492],[-73.8442,40.7492],[-73.8442,40.7492],[-73.8442,40.7492],[-73.8442,40.7493],[-73.8442,40.7493],[-73.8442,40.7493],[-73.8443,40.7493],[-73.8443,40.7493],[-73.8443,40.7494],[-73.8443,40.7494],[-73.8443,40.7494],[-73.8444,40.7494],[-73.8444,40.7494],[-73.8444,40.7494],[-73.8444,40.7494],[-73.8445,40.7494],[-73.8445,40.7494],[-73.8445,40.7495],[-73.8446,40.7495],[-73.8446,40.7494],[-73.8446,40.7494],[-73.8447,40.7494],[-73.8447,40.7494],[-73.8447,40.7494],[-73.8448,40.7494],[-73.8448,40.7494],[-73.8448,40.7494],[-73.8448,40.7494],[-73.8448,40.7493],[-73.8449,40.7493],[-73.8449,40.7493],[-73.8449,40.7493],[-73.8449,40.7493],[-73.8449,40.7492],[-73.8449,40.7492],[-73.8449,40.7492],[-73.8449,40.7492],[-73.8449,40.7491],[-73.8449,40.7491],[-73.8449,40.7491],[-73.8449,40.7491],[-73.8449,40.749],[-73.8449,40.749],[-73.8448,40.749],[-73.8448,40.749],[-73.8448,40.749],[-73.8448,40.749],[-73.8447,40.7489],[-73.8447,40.7489],[-73.8447,40.7489],[-73.8447,40.7489],[-73.8446,40.7489],[-73.8446,40.7489],[-73.8446,40.7489],[-73.8445,40.7489],[-73.8444,40.7488],[-73.8444,40.7488],[-73.8444,40.7489],[-73.8444,40.7489],[-73.8443,40.7489]]]]"
,"1001420030","1090517","M",TRUE,"2011","Washington Market Park Public Restroom","1283804","current","M308","10","10","Greenwich St. & Chambers St.","M308","M-01","M308-BLG9989",FALSE,"Active",,,,"MultiPolygon","[[[[-74.0116,40.7175],[-74.0115,40.7174],[-74.0115,40.7175],[-74.0115,40.7175],[-74.0115,40.7175],[-74.0114,40.7175],[-74.0115,40.7175],[-74.0115,40.7175],[-74.0116,40.7175]]]]"
"2012","2036410001","2128993","X",TRUE,"1962","Story Playground Public Restroom","1283800","current","X204","16","16","Story Avenue, Thieriot Avenue, Taylor Avenue","X204","X-09","X204-BLG9190",FALSE,"Active",,,,"MultiPolygon","[[[[-73.8632,40.823],[-73.8632,40.823],[-73.8632,40.823],[-73.8632,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.8229],[-73.8632,40.8229],[-73.8632,40.8229],[-73.8631,40.8229],[-73.8631,40.8229],[-73.8631,40.8229],[-73.8631,40.8229],[-73.863,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.823],[-73.8631,40.8231],[-73.8632,40.823]]]]"
,"3002450015","3425828","B",FALSE,,"Brooklyn Bridge Park-Building","1283797","current","B431","7","13","Plymouth St., New Dock St., Furman St. bet. Old Fulton St. and Atlantic Ave.","B431","B-02","B431-BLG7178",FALSE,"Active",,,,"MultiPolygon","[[[[-74.0007,40.6946],[-74.0007,40.6946],[-74.0006,40.6945],[-74.0005,40.6946],[-74.0007,40.6946]]]]"
,"1007070014","1089740","M",TRUE,"2017","Bella Abzug Park-Public Restroom","1283795","current","M399","54","0","W. 36th St. & Hudson Blvd. E.","M399","M-04","M399-BLG0001",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9998,40.7563],[-73.9998,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7563],[-73.9997,40.7564],[-73.9997,40.7564],[-73.9998,40.7564],[-73.9998,40.7564],[-73.9998,40.7564],[-73.9998,40.7564],[-73.9998,40.7563],[-73.9998,40.7563],[-73.9998,40.7563],[-73.9998,40.7563],[-73.9998,40.7563],[-73.9998,40.7563]]]]"
,"1007050053","1799471","M",FALSE,"2016","Bella Abzug Park-Hudson Yards Subway Entrance","1273023","current","M399",,"0","Hudson Boulevard East","M399","M-04","M399-BLG9471",FALSE,"Active",,,,"MultiPolygon","[[[[-74.001,40.7549],[-74.001,40.7548],[-74.0009,40.755],[-74.0011,40.7551],[-74.0012,40.755],[-74.0011,40.7549],[-74.001,40.7549]]]]"
,"3017790027","3425823","B",FALSE,"1969","Kosciusko Pool-Shade Structure","1283790","current","B351","55","14",,"B351","B-03","B351-BLG1039",FALSE,"Active",,,,"MultiPolygon","[[[[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.949,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6915],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.9491,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914],[-73.949,40.6914]]]]"
,"2026050010","2102886","X",FALSE,,"North Brother Island-Building","1283789","current","X308","60","11",,"X308","X-02","X308-BLG0770",FALSE,"Active",,,,"MultiPolygon","[[[[-73.899,40.7995],[-73.899,40.7996],[-73.8991,40.7996],[-73.8991,40.7996],[-73.899,40.7995]]]]"
,"3070670100","3189627","B",TRUE,"1957","Nautilus Playground Public Restroom","1283788","current","B268","7","0","West 30 Street at Boardwalk","B268","B-13","B268-BLG1160",FALSE,"Active",,,,"MultiPolygon","[[[[-73.996,40.5717],[-73.9959,40.5717],[-73.9959,40.5717],[-73.996,40.5717],[-73.996,40.5717]]]]"
,"1021010055","1090960","M",FALSE,,"Riverside Park-Riverside Dr. Pedestrian Zone F-Building","1294178","current","M072","27","0",,"M072-ZN26","M-14","M072-ZN26-BLG1485",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9558,40.8234],[-73.9558,40.8234],[-73.9558,40.8233],[-73.9558,40.8232],[-73.9558,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8232],[-73.9559,40.8231],[-73.9558,40.823],[-73.9557,40.8233],[-73.9557,40.8234],[-73.9558,40.8234]]]]"
