"trackerid","fmsid","title","summary","currentphase","designpercentcomplete","procurementpercentcomplete","constructionpercentcomplete","designstart","designprojectedcompletion","designadjustedcompletion","designactualcompletion","procurementstart","procurementprojectedcompletion","totalfunding","projectliaison","lastupdated","fundingsource","name","parkid","latitude","longitude","borough","procurementactualcompletion","constructionstart","constructionprojectedcom","constructionadjustedcompletion","constructionactualcompletion","procurementadjustedcompletion"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Ballfields at 150th Street / Booth Memorial Avenue / Kissena Boulevard / 56th Avenue / 151st Street","Q300","40.743444","-73.814629","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","W 166 St bet Woodycrest Av & Nelson Av","X168","40.834805","-73.926879","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"6259","846 P-6ROOF14","Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M)","This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.","completed","100.0","100.0","100.0","2013-12-01T00:00:00.000","2014-01-01T00:00:00.000",,"2014-02-01T00:00:00.000","2014-02-01T00:00:00.000","2014-11-01T00:00:00.000","$1,570,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Rev James Polite Av to Interval Av bet E 167 St & Home St","X116","40.826811","-73.897461","Bronx, Queens","2016-03-01T00:00:00.000","2016-04-01T00:00:00.000","2019-04-01T00:00:00.000",,"2019-04-01T00:00:00.000","2016-05-01T00:00:00.000"
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","East 135 Street between Madison & 5 Avenue","M193","40.812084","-73.936759","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","E. 23 St. To E. 25 St., FDR Drive","M164","40.735822","-73.975404","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","19 St. bet. Astoria Park S. and Ditmars Blvd.","Q004","40.779097","-73.923003","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","E. 54 St. between 1 Ave. and 2 Ave.","M130","40.756418","-73.965156","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","Fulton Avenue, Crotona Park North, South, East","X010","40.839896","-73.894642","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","West 59 Street, West 60 Street between Amsterdam Avenue and West End Avenue","M063","40.741792","-74.001833","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
"5055","846 P-6POOL11","Citywide Pool Structural Systems Reconstruction (CNYG-1011M)","This project will reconstruct deteriorated structural systems at park and pool facilities citywide.","completed","100.0","100.0","100.0","2011-01-01T00:00:00.000",,,"2011-03-01T00:00:00.000","2011-03-01T00:00:00.000","2011-11-01T00:00:00.000","$2,419,000","Cristin Leoutsakos","2026-09-16T00:00:00.000","Mayoral","W. 134 St., Lenox Terrace Pl.","M131","40.812917","-73.939415","Manhattan, Queens, Bronx, Brooklyn","2013-08-01T00:00:00.000","2013-09-01T00:00:00.000","2016-09-01T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000",
