ntaname,type,lon,lat,residents,subway,dist_2pm_m,dist_9pm_m,poverty,n_open_2pm_500m,n_open_9pm_500m,n_park_placeholder_500m,n_broken_500m,broken_names,stable_revealed,stable_any,rank,reality_lens,borough
Midtown South-Flatiron-Union Square,busy_street,-73.9901,40.73954,18137,41775616,274,343,0.058,4,1,1,0,"",0.78,0.67,38,Covered day and evening: lower priority,Manhattan
Upper West Side-Lincoln Square,busy_street,-73.98654,40.76926,28455,17440119,306,375,0.061,4,1,3,0,"",0.7,0.57,39,Covered day and evening: lower priority,Manhattan
East Village,busy_street,-73.97655,40.72881,27175,7329341,368,1411,0.195,2,0,1,0,"",0.97,0.82,40,Extend park hours nearby first,Manhattan
Tribeca-Civic Center,plaza,-74.00235,40.71079,16377,28147630,419,668,0.659,1,0,1,1,Alfred E. Smith Playground,0.95,0.75,41,Repair or reopen nearby first,Manhattan
Washington Heights (North),busy_street,-73.93621,40.85031,34411,7034997,334,1198,0.111,2,0,1,0,"",0.8,0.43,42,Extend park hours nearby first,Manhattan
Fordham Heights,busy_street,-73.89826,40.86039,36237,3999924,360,2325,0.332,3,0,2,0,"",0.86,0.67,43,Extend park hours nearby first,Bronx
Park Slope,busy_street,-73.98906,40.66587,17065,1432173,508,2271,0.133,0,0,0,0,"",0.77,0.16,44,Build: no restroom within 500 m,Brooklyn
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,park,-73.99366,40.67065,6464,4228398,809,2534,0.036,0,0,0,0,"",0.58,0.09,45,Build: no restroom within 500 m,Brooklyn
Long Island City-Hunters Point,busy_street,-73.9521,40.74283,9427,5886234,561,1942,0.051,0,0,0,0,"",0.59,0.09,46,Build: no restroom within 500 m,Queens
Upper East Side-Carnegie Hill,busy_street,-73.95564,40.77655,45307,24267538,327,960,0.054,1,0,0,0,"",0.94,0.7,47,Existing restroom closes early: extend other operator's hours,Manhattan
Sunnyside,plaza,-73.91871,40.74318,22853,5935513,359,3651,0.187,2,0,1,0,"",0.64,0.38,48,Extend park hours nearby first,Queens
Ridgewood,busy_street,-73.90764,40.69996,19334,6348452,567,4465,0.1,0,0,0,0,"",0.49,0.08,49,Build: no restroom within 500 m,Queens
Midtown South-Flatiron-Union Square,busy_street,-73.99039,40.75002,8795,68289064,232,1043,0.188,3,0,0,0,"",0.52,0.7,50,Existing restroom closes early: extend other operator's hours,Manhattan
