factor,pilot_median,candidate_median,pilot_median_percentile
residents,15991.4145021645,3649.4246031746,79
foot_traffic,3.38807450428615,0.821790709193313,72
subway,3939151,0,75
jobs,4142.70068542568,891.354187815369,68
hotels,1,0,69
dist_2pm_m,369.492860233241,327.234216409435,56
dist_9pm_m,1694.4624753112,1466.80037480391,55
poverty,0.156878158338012,0.0930390954910775,73
complaints,13,2,70
