ntaname,share_revealed_draws,share_any_weights,revealed_by_pilots,equal_law_factors,footfall_heavy,transit_heavy,equity_heavy,access_heavy,no_population,named_count,stability
East New York (North),0.023,0.106,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,weak
Upper West Side-Manhattan Valley,0.0215,0.2015,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,weak
Kingsbridge-Marble Hill,0.0165,0.227,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,weak
South Williamsburg,0.014,0.293,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,weak
Bedford-Stuyvesant (West),0.0125,0.063,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Co-op City,0.006,0.0435,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
New Springville-Willowbrook-Bulls Head-Travis,0.0045,0.033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Chinatown-Two Bridges,0.0035,0.4275,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,weak
Freshkills Park (North),0.0035,0.0645,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Mount Eden-Claremont (West),0.003,0.1025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Soundview-Clason Point,0.003,0.0435,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
University Heights (North)-Fordham,0.0025,0.1915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Rosedale,0.0025,0.0695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
St. George-New Brighton,0.0025,0.0575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Rosebank-Shore Acres-Park Hill,0.0025,0.048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Downtown Brooklyn-DUMBO-Boerum Hill,0.002,0.2695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,weak
Tremont,0.002,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Marine Park-Plumb Island,0.002,0.0395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0.002,0.039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Flushing Meadows-Corona Park,0.0015,0.0535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Gravesend (South),0.0015,0.033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Manhattanville-West Harlem,0.001,0.1095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
