ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Washington Heights (South),park,-73.9474,40.83813,16389,0,3565,760,2512,0.192,Manhattan,63,all-day,0,0,0,"","",Build a new unit,123,0.99,0.89
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,park,-73.99366,40.67065,6464,4228398,4312,809,2534,0.036,Brooklyn,75,all-day,0,0,0,"","",Build a new unit,124,0.43,0.67
Williamsburg,park,-73.95104,40.71927,11689,0,4127,185,313,0.041,Brooklyn,60,evening-only,0,1,1,"",McCarren Park Zone 1,Keep a nearby park restroom open later,125,0.41,0.56
Elmhurst,park,-73.8729,40.73272,11859,4524888,5191,122,3466,0.115,Queens,73,evening-only,1,1,1,Hoffman Park,Newtown Playground,Repair or reopen nearby,126,0.97,1
Downtown Brooklyn-DUMBO-Boerum Hill,park,-73.98123,40.68686,17022,23639674,16794,25,1776,0.119,Brooklyn,80,evening-only,0,4,1,"","Sixteen Sycamores Playground; Pacific Library, BPL; Atlantic Ave Terminal LIRR Restroom; Library for Arts & Culture",Keep a nearby park restroom open later,127,1,0.83
East Williamsburg,plaza,-73.9409,40.70356,17768,3851275,10957,156,2249,0.339,Brooklyn,71,evening-only,0,2,1,"","Bushwick Playground; Bushwick Library, BPL",Keep a nearby park restroom open later,128,0.97,0.44
Longwood,park,-73.89407,40.82459,19061,2369975,3938,27,1669,0.336,Bronx,71,evening-only,0,3,3,"",Horseshoe Playground; Rev J Polite Playground; Tiffany Playground,Keep a nearby park restroom open later,129,1,0.44
Fort Greene,busy_street,-73.97591,40.68956,14044,5274328,13047,314,2128,0.096,Brooklyn,78,evening-only,0,5,4,"",Fort Greene Playground; Fort Greene Park Zone 3; Albert J. Parham Playground; Edmonds Playground; Library for Arts & Culture,Keep a nearby park restroom open later,130,0.99,0.67
Elmhurst,busy_street,-73.88064,40.74157,32620,3256579,3184,171,3056,0.14,Queens,71,evening-only,0,2,1,"","Moore Homestead Playground; Elmhurst Library, QPL",Keep a nearby park restroom open later,131,0.66,0.44
Castle Hill-Unionport,busy_street,-73.86133,40.83276,19905,2834403,2546,190,1926,0.187,Bronx,70,evening-only,0,2,1,"","Virginia Playground; Parkchester Library, NYPL",Keep a nearby park restroom open later,132,0.88,0.44
Mott Haven-Port Morris,park,-73.91721,40.803,8503,611022,2733,150,1117,0.396,Bronx,70,evening-only,0,1,1,"",Millbrook Playground,Keep a nearby park restroom open later,133,0.99,0.56
East Flatbush-Farragut,park,-73.94756,40.63822,16519,1643460,1119,21,2405,0.229,Brooklyn,70,evening-only,0,2,1,"","Nostrand Playground; Clarendon Library, BPL",Keep a nearby park restroom open later,134,0.91,0.44
Lower East Side,park,-73.983,40.70982,9182,0,1850,71,1303,0.287,Manhattan,51,evening-only,0,2,2,"",Corlears Hook Park; Pier 42,Keep a nearby park restroom open later,135,0.66,0.44
Westchester Square,park,-73.84246,40.84074,4092,993324,4311,349,566,0.263,Bronx,66,evening-only,0,2,1,"","The Pearly Gates; Westchester Square Library, NYPL",Keep a nearby park restroom open later,136,0.96,0.67
Gravesend (East)-Homecrest,park,-73.9724,40.60041,8726,1155880,5979,85,2529,0.3,Brooklyn,69,evening-only,0,1,1,"",McDonald Playground,Keep a nearby park restroom open later,137,0.98,0.44
Bedford Park,park,-73.88508,40.87861,13231,1494474,12571,587,1825,0.203,Bronx,69,all-day,1,0,0,Mosholu Parkway Zone 2 (PIP X033-ZN02),"",Repair or reopen nearby,138,0.79,0.67
Midtown-Times Square,busy_street,-73.97766,40.76385,9944,25163114,130444,338,361,0.077,Manhattan,86,evening-only,0,1,0,"","53rd Street Library, NYPL",Extend another operator's hours,139,1,0.83
Mott Haven-Port Morris,park,-73.91187,40.80975,14432,418507,3387,117,1951,0.3,Bronx,68,evening-only,0,3,3,"",St Mary's Playground East; St Mary's Playground West; People's Park,Keep a nearby park restroom open later,140,1,0.56
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,park,-73.98478,40.6801,11861,2005303,4238,569,1952,0.118,Brooklyn,69,all-day,0,0,0,"","",Build a new unit,141,0.36,0.67
Central Park,park,-73.96165,40.79221,8453,3403732,3325,210,1440,0.048,Manhattan,66,evening-only,0,1,1,"",North Meadow Recreation Center,Keep a nearby park restroom open later,142,0.94,0.5
Mapleton-Midwood (West),park,-73.96885,40.61662,9504,602095,4453,351,3651,0.32,Brooklyn,68,evening-only,0,1,1,"",Friends Field,Keep a nearby park restroom open later,143,0.97,0.44
Highbridge Park,park,-73.92426,40.85568,13266,1748269,2000,303,913,0.225,Manhattan,64,evening-only,0,2,2,"",Wallenberg Playground; Sherman Creek,Keep a nearby park restroom open later,144,1,0.44
Mapleton-Midwood (West),park,-73.97061,40.62607,9110,347315,9136,710,2798,0.074,Brooklyn,68,all-day,0,0,0,"","",Build a new unit,145,0.22,0.67
Bushwick (West),park,-73.92443,40.70304,15574,2613770,11801,37,3129,0.271,Brooklyn,68,evening-only,0,2,2,"",Maria Hernandez Park; Fermi Playground,Keep a nearby park restroom open later,146,0.83,0.44
East Midtown-Turtle Bay,busy_street,-73.96701,40.75304,21747,0,37030,145,500,0.087,Manhattan,73,evening-only,0,3,1,"",MacArthur Playground; Dag Hammarskjold Food Kiosk; 805 Third Avenue POPS,Keep a nearby park restroom open later,147,0.56,0.58
Flushing Meadows-Corona Park,park,-73.8321,40.71916,5546,785198,8192,558,3649,0.086,Queens,66,all-day,0,0,0,"","",Build a new unit,148,0.23,0.56
Bedford-Stuyvesant (West),park,-73.95816,40.69226,19139,3585044,7693,70,2580,0.311,Brooklyn,68,evening-only,0,2,2,"",Star Spangled Playground; Pratt Playground,Keep a nearby park restroom open later,149,0.84,0.44
Ozone Park (North),park,-73.85703,40.68137,11405,1599973,840,21,7913,0.276,Queens,67,evening-only,0,1,1,"",Ampere Playground,Keep a nearby park restroom open later,150,0.86,0.44
Jamaica Hills-Briarwood,park,-73.82146,40.71239,8912,1183353,1726,237,4436,0.166,Queens,67,evening-only,0,2,1,"","Hoover - Manton Playgrounds; Briarwood Library, QPL",Keep a nearby park restroom open later,151,0.45,0.44
Washington Heights (North),park,-73.93137,40.86244,13058,2450715,1524,221,219,0.166,Manhattan,66,evening-only,1,1,0,Anne Loftus Playground,Fort Tryon Park Zone 1,Repair or reopen nearby,152,0.43,0.39
Central Park,park,-73.96877,40.78411,11823,6187760,4386,637,972,0.064,Manhattan,64,all-day,0,0,0,"","",Build a new unit,153,0.55,0.72
Hamilton Heights-Sugar Hill,busy_street,-73.95452,40.82733,17225,2190118,3196,197,3115,0.306,Manhattan,72,evening-only,0,2,2,"",Riverbank Playground; Ten Mile River Playground,Keep a nearby park restroom open later,154,1,0.67
Ozone Park,plaza,-73.86326,40.67928,15947,2149479,1723,563,8250,0.197,Queens,67,all-day,0,0,0,"","",Build a new unit,155,0.55,0.67
Sunset Park (East)-Borough Park (West),park,-74.00075,40.63688,17333,0,12562,12,3034,0.278,Brooklyn,67,evening-only,0,1,1,"",Rappaport Playground,Keep a nearby park restroom open later,156,0.75,0.44
