ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Long Island City-Hunters Point,busy_street,-73.94109,40.746,9145,10645753,17219,674,2173,0.025,Queens,75,all-day,0,0,0,"","",Build a new unit,28,1,1
Park Slope,busy_street,-73.98656,40.6693,13803,3162853,4929,287,2431,0.05,Brooklyn,76,evening-only,0,2,1,"","Washington Park; Park Slope Library, BPL",Keep a nearby park restroom open later,29,0.95,1
Upper East Side-Carnegie Hill,busy_street,-73.95811,40.7733,33071,6603753,17637,152,712,0.054,Manhattan,78,evening-only,0,1,0,"","Yorkville Library, NYPL",Extend another operator's hours,30,0.93,1
East Harlem (North),busy_street,-73.94173,40.7956,29269,5577323,5037,312,1940,0.393,Manhattan,83,evening-only,1,0,0,Poor Richard's Playground,"",Repair or reopen nearby,31,1,0.83
West Village,busy_street,-74.00236,40.72933,19315,22725568,47673,89,784,0.058,Manhattan,78,evening-only,1,3,2,Downing Street Playground,"Vesuvio Playground; Washington Square Park Western Half; Hudson Park Library, NYPL",Repair or reopen nearby,32,0.84,0.83
Prospect Park,park,-73.96705,40.672,10104,2975347,1160,99,2318,0.076,Brooklyn,63,evening-only,0,3,1,"","Mt Prospect Park Playground; Grand Army Plaza APT; Brooklyn Central Library, BPL",Keep a nearby park restroom open later,33,0.35,0.56
Upper West Side (Central),park,-73.9741,40.78276,22662,3484039,8888,366,936,0.097,Manhattan,75,evening-only,0,2,1,"","Tecumseh Playground; St. Agnes Library, NYPL",Keep a nearby park restroom open later,34,0.89,1
Upper East Side-Carnegie Hill,busy_street,-73.96407,40.765,26246,22117273,35224,382,724,0.073,Manhattan,90,evening-only,0,2,1,"","St. Catherine's Park; 67th Street Library, NYPL",Keep a nearby park restroom open later,35,1,1
Coney Island-Sea Gate,park,-73.97418,40.57339,3709,691765,1092,146,768,0.601,Brooklyn,67,evening-only,3,1,1,Asser Levy Park; Luna Playground; Coney Island Beach Zone 4a (PIP B169-ZN04A),Coney Island Beach Zone 4b,Repair or reopen nearby,36,0.99,0.44
Downtown Brooklyn-DUMBO-Boerum Hill,park,-73.9901,40.69902,10513,8410902,9970,76,593,0.105,Brooklyn,70,evening-only,0,4,3,"","McLaughlin Park; Cadman Plaza Park; Susan Smith McKinney Steward Park; Brooklyn Heights Library, BPL",Keep a nearby park restroom open later,37,1,0.61
Jamaica,busy_street,-73.80374,40.70155,10012,14202255,5889,201,3763,0.123,Queens,76,evening-only,0,2,1,"",Rufus King Park; Jamaica LIRR Restroom,Keep a nearby park restroom open later,38,1,0.67
Chinatown-Two Bridges,busy_street,-73.99365,40.71388,27211,9875006,14251,247,1251,0.396,Manhattan,78,evening-only,2,4,2,Coleman Playground; Alfred E. Smith Playground,"Hester St Playground; Little Flower Playground; Chatham Square Library, NYPL; Seward Park Library, NYPL",Repair or reopen nearby,39,1,0.67
Financial District-Battery Park City,busy_street,-74.00743,40.7116,19884,50956894,101080,185,721,0.094,Manhattan,78,evening-only,0,2,0,"","New Amsterdam Library, NYPL; Fulton St (A-C) MTA Restroom",Extend another operator's hours,40,1,1
Upper West Side-Lincoln Square,busy_street,-73.99009,40.77331,24383,0,12435,236,471,0.192,Manhattan,68,evening-only,0,4,2,"","Gertrude Ederle Recreation Center; Damrosch Park; Library for the Performing Arts, Dorothy and Lewis B. Cullman Center Library, NYPL; Riverside Library, NYPL",Keep a nearby park restroom open later,41,0.95,0.89
Chelsea-Hudson Yards,busy_street,-73.99938,40.75718,11633,6753333,41825,99,642,0.083,Manhattan,85,evening-only,0,1,1,"",Bella Abzug Park,Keep a nearby park restroom open later,42,1,0.83
Flushing Meadows-Corona Park,park,-73.85156,40.74755,6485,0,1224,207,1062,0.235,Queens,61,evening-only,0,2,1,"",Corona Golf Playground; Fmcp Heliport,Keep a nearby park restroom open later,43,0.99,0.78
East Village,busy_street,-73.981,40.73072,32215,9224266,11921,383,985,0.172,Manhattan,85,evening-only,0,2,1,"","Tompkins Square Park; Tompkins Square Library, NYPL",Keep a nearby park restroom open later,44,1,1
Gramercy,busy_street,-73.97944,40.73549,27297,0,27483,225,890,0.185,Manhattan,73,evening-only,0,2,1,"","Augustus St. Gaudens Playground; Epiphany Library, NYPL",Keep a nearby park restroom open later,45,1,0.81
Williamsburg,busy_street,-73.95992,40.71522,19829,9837921,9387,345,630,0.21,Brooklyn,82,evening-only,1,1,1,Jaime Campiz Playground,William Sheridan Playground,Repair or reopen nearby,46,1,0.83
Prospect Park,park,-73.97592,40.66389,7485,4481029,1645,85,1482,0.057,Brooklyn,67,evening-only,0,2,2,"",Harmony Playground; Middle Long Meadow,Keep a nearby park restroom open later,47,0.32,0.5
Morningside Heights,park,-73.96698,40.80842,12690,6524585,19755,314,770,0.094,Manhattan,75,evening-only,0,2,1,"","Wildlife Sanct. & 119 St Tennis Courts; Morningside Heights Library, NYPL",Keep a nearby park restroom open later,48,1,0.83
Central Park,busy_street,-73.95834,40.7844,14754,0,8473,467,1337,0.03,Manhattan,62,evening-only,0,2,2,"",Ancient Playground,Keep a nearby park restroom open later,49,0.36,0.89
Mott Haven-Port Morris,park,-73.9172,40.80975,19749,1099074,5811,30,1863,0.539,Bronx,82,evening-only,2,2,2,Willis Playground; Saw Mill Playground,St Mary's Playground West; People's Park,Repair or reopen nearby,50,1,0.67
Elmhurst,busy_street,-73.87446,40.73472,15032,9056441,6233,316,3447,0.116,Queens,78,evening-only,1,2,1,Hoffman Park,"Newtown Playground; Elmhurst Library, QPL",Repair or reopen nearby,51,0.97,1
Manhattanville-West Harlem,park,-73.94919,40.81652,16033,1230629,3767,99,2463,0.194,Manhattan,74,evening-only,0,3,3,"",Jacob H. Schiff Playground; St Nicholas,Keep a nearby park restroom open later,52,1,0.56
University Heights (South)-Morris Heights,busy_street,-73.91217,40.84796,29770,3172546,3701,472,950,0.383,Bronx,77,evening-only,0,2,0,"","Sedgwick Library, NYPL; Grand Concourse Library, NYPL",Extend another operator's hours,53,1,1
Concourse-Concourse Village,park,-73.92607,40.82326,8507,0,4777,210,2042,0.345,Bronx,62,evening-only,0,2,2,"",Franz Sigel Park Zone 1; Mill Pond Park,Keep a nearby park restroom open later,54,1,0.67
Bedford-Stuyvesant (West),busy_street,-73.94752,40.68009,16369,4317977,3295,355,3734,0.234,Brooklyn,72,evening-only,0,2,2,"",St. Andrew's Playground; Potomac Playground,Keep a nearby park restroom open later,55,1,0.56
Washington Heights (South),busy_street,-73.94384,40.83543,35696,3358880,3319,362,2270,0.315,Manhattan,82,evening-only,0,2,1,"","Wright Brothers Playground; Washington Heights Library, NYPL",Keep a nearby park restroom open later,56,1,1
Tribeca-Civic Center,park,-74.00608,40.72198,11045,7192079,55570,506,604,0.035,Manhattan,71,all-day,0,0,0,"","",Build a new unit,57,0.55,0.83
Upper West Side (Central),busy_street,-73.97587,40.78681,39878,8259326,11922,256,1405,0.171,Manhattan,76,evening-only,0,1,0,"","St. Agnes Library, NYPL",Extend another operator's hours,58,0.94,1
Mount Eden-Claremont (West),park,-73.91005,40.83811,24178,1189146,1690,180,706,0.257,Bronx,71,evening-only,1,1,1,Claremont Zone 1,Claremont Zone 3,Repair or reopen nearby,59,1,0.5
